AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
77,32,Jagadish Joshi,38,1,A3
78,33,Umesh Angadi,20,1,A1
79,33,Manjunath Bagewadi,31,1,A2
80,33,Priya Kattimani,28,2,A3
81,33,Kamala Joshi,23,2,A4
82,34,Sneha Prasad,19,2,A1
83,34,Basavaraj Gowda,23,1,A2
84,35,Umesh Angadi,20,1,A1
85,35,Basavaraj Gowda,23,1,A2
86,36,Shilpa Kattimani,34,2,A1
87,36,Ashok Kumari,28,1,A2
88,36,Priya Kattimani,28,2,A3
89,37,Yogesh Devi,27,1,A1
90,38,Renuka Bagewadi,27,2,A1
91,38,Yogesh Devi,27,1,A2
92,38,Ravi Rao,15,1,A3
93,39,Renuka Bagewadi,27,2,A1
94,39,Vasantha Kumar,35,2,A2
95,40,Naveen Meti,33,1,A1
96,41,Basavaraj Gowda,23,1,A1
97,41,Ashok Kumari,28,1,A2
98,41,Umesh Angadi,20,1,A3
99,41,Bharath Kattimani,15,1,A4
100,42,Prasad Kambli,15,1,A1
101,42,Bharath Kattimani,15,1,A2
102,43,Naveen Meti,33,1,A1
103,44,Radha Kumari,42,2,A1
104,44,Ashok Kumari,28,1,A2
105,44,Priya Kattimani,28,2,A3
106,45,Radha Kumari,42,2,A1
107,45,Ashok Kumari,28,1,A2
108,45,Bharath Kattimani,15,1,A3
109,46,Ashok Kumari,28,1,A1
110,46,Umesh Angadi,20,1,A2
111,46,Priya Kattimani,28,2,A3
112,47,Basavaraj Gowda,23,1,A1
113,47,Sneha Prasad,19,2,A2
114,47,Shilpa Kattimani,34,2,A3
115,48,Radha Kumari,42,2,A1
116,48,Basavaraj Gowda,23,1,A2
117,49,Renuka Bagewadi,27,2,A1
118,49,Ashok Kumari,28,1,A2
119,49,Radha Kumari,42,2,A3
120,49,Vasantha Kumar,35,2,A4
121,50,Manjunath Bagewadi,31,1,A1
122,51,Priya Kattimani,28,2,A1
123,51,Ravi Rao,15,1,A2
124,51,Shilpa Kattimani,34,2,A3
125,51,Sneha Prasad,19,2,A4
126,52,Ashok Kumari,28,1,A1
127,52,Manjunath Bagewadi,31,1,A2
128,52,Bharath Kattimani,15,1,A3
129,52,Ravi Rao,15,1,A4
130,53,Umesh Angadi,20,1,A1
131,53,Bharath Kattimani,15,1,A2
132,53,Sneha Prasad,19,2,A3
133,54,Bharath Kattimani,15,1,A1
134,54,Ravi Rao,15,1,A2
135,54,Basavaraj Gowda,23,1,A3
136,55,Bharath Kattimani,15,1,A1
137,55,Ravi Rao,15,1,A2
138,56,Kamala Joshi,23,2,A1
139,56,Manjunath Bagewadi,31,1,A2
140,56,Prasad Kambli,15,1,A3
141,57,Bharath Kattimani,15,1,A1
142,57,Kavitha Acharya,31,2,A2
143,57,Manjunath Bagewadi,31,1,A3
144,57,Priya Kattimani,28,2,A4
145,58,Ashok Kumari,28,1,A1
146,58,Prasad Kambli,15,1,A2
147,58,Naveen Meti,33,1,A3
148,59,Umesh Angadi,20,1,A1
149,60,Ashok Kumari,28,1,A1
150,60,Basavaraj Gowda,23,1,A2
151,60,Prasad Kambli,15,1,A3
152,61,Radha Kumari,42,2,A1
153,61,Ravi Rao,15,1,A2
154,61,Bharath Kattimani,15,1,A3
155,62,Manjunath Bagewadi,31,1,A1
156,63,Radha Kumari,42,2,A1
157,64,Ravi Rao,15,1,A1
158,65,Renuka Bagewadi,27,2,A1
159,66,Umesh Angadi,20,1,A1
160,67,Priya Kattimani,28,2,A1
161,67,Prasad Kambli,15,1,A2
162,68,Vasantha Kumar,35,2,A1
163,68,Renuka Bagewadi,27,2,A2
164,69,Naveen Meti,33,1,A1
165,69,Priya Kattimani,28,2,A2
166,69,Basavaraj Gowda,23,1,A3
167,70,Yogesh Devi,27,1,A1
168,70,Radha Kumari,42,2,A2
169,71,Vasantha Kumar,35,2,A1
170,72,Bharath Kattimani,15,1,A1
171,72,Ravi Rao,15,1,A2
172,72,Shilpa Kattimani,34,2,A3
173,73,Ashok Kumari,28,1,A1
174,74,Sneha Prasad,19,2,A1
175,74,Yogesh Devi,27,1,A2
176,74,Manjunath Bagewadi,31,1,A3
177,74,Basavaraj Gowda,23,1,A4
178,75,Ashok Kumari,28,1,A1
179,75,Ravi Rao,15,1,A2
180,75,Umesh Angadi,20,1,A3
181,76,Ashok Kumari,28,1,A1
182,77,Umesh Angadi,20,1,A1
183,77,Ashok Kumari,28,1,A2
184,78,Prasad Kambli,15,1,A1
185,79,Prasad Kambli,15,1,A1
186,79,Priya Kattimani,28,2,A2
187,79,Radha Kumari,42,2,A3
188,79,Yogesh Devi,27,1,A4
189,80,Radha Kumari,42,2,A1
190,80,Jagadish Joshi,38,1,A2
191,80,Renuka Bagewadi,27,2,A3
192,81,Naveen Meti,33,1,A1
193,82,Yogesh Devi,27,1,A1
194,83,Shilpa Kattimani,34,2,A1
195,83,Jagadish Joshi,38,1,A2
196,84,Shilpa Kattimani,34,2,A1
197,85,Kavitha Acharya,31,2,A1
198,86,Prasad Kambli,15,1,A1
199,86,Radha Kumari,42,2,A2
200,86,Kavitha Acharya,31,2,A3
201,87,Ashok Kumari,28,1,A1
202,87,Shilpa Kattimani,34,2,A2
203,87,Prasad Kambli,15,1,A3
204,88,Naveen Meti,33,1,A1
205,88,Vasantha Kumar,35,2,A2
206,88,Ashok Kumari,28,1,A3
207,89,Shilpa Kattimani,34,2,A1
208,90,Ashok Kumari,28,1,A1
209,91,Manjunath Bagewadi,31,1,A1
210,91,Jagadish Joshi,38,1,A2
211,92,Prasad Kambli,15,1,A1
212,92,Radha Kumari,42,2,A2
213,93,Priya Kattimani,28,2,A1
214,93,Umesh Angadi,20,1,A2
215,94,Vasantha Kumar,35,2,A1
216,94,Bharath Kattimani,15,1,A2
217,94,Ravi Rao,15,1,A3
218,94,Manjunath Bagewadi,31,1,A4
219,95,Ravi Rao,15,1,A1
220,95,Radha Kumari,42,2,A2
221,95,Umesh Angadi,20,1,A3
222,96,Bharath Kattimani,15,1,A1
223,96,Sneha Prasad,19,2,A2
224,97,Naveen Meti,33,1,A1
225,98,Yogesh Devi,27,1,A1
226,98,Bharath Kattimani,15,1,A2
227,98,Manjunath Bagewadi,31,1,A3
228,99,Ravi Rao,15,1,A1
229,99,Umesh Angadi,20,1,A2
230,99,Naveen Meti,33,1,A3
231,100,Shilpa Kattimani,34,2,A1
232,100,Kavitha Acharya,31,2,A2
233,100,Jagadish Joshi,38,1,A3
234,100,Bharath Kattimani,15,1,A4
235,101,Jagadish Joshi,38,1,A1
236,101,Ravi Rao,15,1,A2
237,101,Yogesh Devi,27,1,A3
238,101,Priya Kattimani,28,2,A4
239,102,Ravi Rao,15,1,A1
240,102,Shilpa Kattimani,34,2,A2
241,103,Renuka Bagewadi,27,2,A1
242,104,Bharath Kattimani,15,1,A1
243,105,Renuka Bagewadi,27,2,A1
244,106,Manjunath Bagewadi,31,1,A1
245,106,Jagadish Joshi,38,1,A2
246,106,Kamala Joshi,23,2,A3
247,107,Radha Kumari,42,2,A1
248,107,Manjunath Bagewadi,31,1,A2
249,108,Kavitha Acharya,31,2,A1
250,108,Renuka Bagewadi,27,2,A2
251,108,Prasad Kambli,15,1,A3
252,108,Sneha Prasad,19,2,A4
253,109,Basavaraj Gowda,23,1,A1
254,109,Manjunath Bagewadi,31,1,A2
255,110,Ashok Kumari,28,1,A1
256,110,Priya Kattimani,28,2,A2
257,110,Renuka Bagewadi,27,2,A3
258,110,Vasantha Kumar,35,2,A4
259,111,Basavaraj Gowda,23,1,A1
260,112,Yogesh Devi,27,1,A1
261,113,Shilpa Kattimani,34,2,A1
262,114,Prasad Kambli,15,1,A1
263,114,Ravi Rao,15,1,A2
264,114,Vasantha Kumar,35,2,A3
265,115,Jagadish Joshi,38,1,A1
266,115,Ashok Kumari,28,1,A2
267,115,Shilpa Kattimani,34,2,A3
268,115,Radha Kumari,42,2,A4
269,116,Sneha Prasad,19,2,A1
270,117,Prasad Kambli,15,1,A1
271,118,Vasantha Kumar,35,2,A1
272,118,Basavaraj Gowda,23,1,A2
273,118,Shilpa Kattimani,34,2,A3
274,119,Priya Kattimani,28,2,A1
275,119,Vasantha Kumar,35,2,A2
276,119,Manjunath Bagewadi,31,1,A3
277,119,Yogesh Devi,27,1,A4
278,120,Priya Kattimani,28,2,A1
279,120,Renuka Bagewadi,27,2,A2
280,121,Manjunath Bagewadi,31,1,A1
281,122,Ravi Rao,15,1,A1
282,122,Yogesh Devi,27,1,A2
283,122,Priya Kattimani,28,2,A3
284,123,Renuka Bagewadi,27,2,A1
285,123,Shilpa Kattimani,34,2,A2
286,124,Naveen Meti,33,1,A1
287,124,Umesh Angadi,20,1,A2
288,125,Ashok Kumari,28,1,A1
289,126,Ashok Kumari,28,1,A1
290,126,Ravi Rao,15,1,A2
291,127,Prasad Kambli,15,1,A1
292,127,Renuka Bagewadi,27,2,A2
293,128,Prasad Kambli,15,1,A1
294,128,Radha Kumari,42,2,A2
295,128,Sneha Prasad,19,2,A3
296,128,Priya Kattimani,28,2,A4
297,129,Sneha Prasad,19,2,A1
298,129,Priya Kattimani,28,2,A2
299,129,Renuka Bagewadi,27,2,A3
300,130,Kamala Joshi,23,2,A1
301,131,Prasad Kambli,15,1,A1
302,131,Kavitha Acharya,31,2,A2
303,132,Ashok Kumari,28,1,A1
304,133,Shilpa Kattimani,34,2,A1
305,133,Kavitha Acharya,31,2,A2
306,133,Radha Kumari,42,2,A3
307,133,Basavaraj Gowda,23,1,A4
308,134,Ravi Rao,15,1,A1
309,134,Kamala Joshi,23,2,A2
310,134,Bharath Kattimani,15,1,A3
311,135,Shilpa Kattimani,34,2,A1
312,136,Manjunath Bagewadi,31,1,A1
313,137,Vasantha Kumar,35,2,A1
314,138,Sneha Prasad,19,2,A1
315,138,Prasad Kambli,15,1,A2
316,138,Yogesh Devi,27,1,A3
317,139,Renuka Bagewadi,27,2,A1
318,139,Vasantha Kumar,35,2,A2
319,140,Basavaraj Gowda,23,1,A1
320,140,Ashok Kumari,28,1,A2
321,141,Jagadish Joshi,38,1,A1
322,142,Manjunath Bagewadi,31,1,A1
323,142,Naveen Meti,33,1,A2
324,142,Basavaraj Gowda,23,1,A3
325,142,Ashok Kumari,28,1,A4
326,143,Bharath Kattimani,15,1,A1
327,143,Vasantha Kumar,35,2,A2
328,144,Jagadish Joshi,38,1,A1
329,144,Radha Kumari,42,2,A2
330,145,Sneha Prasad,19,2,A1
331,146,Umesh Angadi,20,1,A1
332,146,Kavitha Acharya,31,2,A2
333,146,Bharath Kattimani,15,1,A3
334,147,Yogesh Devi,27,1,A1
335,147,Naveen Meti,33,1,A2
336,147,Basavaraj Gowda,23,1,A3
337,147,Ravi Rao,15,1,A4
338,148,Renuka Bagewadi,27,2,A1
339,149,Naveen Meti,33,1,A1
340,150,Umesh Angadi,20,1,A1
341,150,Priya Kattimani,28,2,A2
342,150,Ashok Kumari,28,1,A3
343,151,Krishna Lamani,15,1,A1
344,151,Chandrashekar Salian,38,1,A2
345,151,Ramesh Devi,43,1,A3
346,152,Indira Bagewadi,24,2,A1
347,152,Mohan Kumar,29,1,A2
348,153,Ramesh Devi,43,1,A1
349,153,Priya Swamy,37,2,A2
350,154,Suresh Nayak,45,1,A1
351,154,Ramesh Devi,43,1,A2
352,154,Mohan Kumar,29,1,A3
353,154,Renuka Gupta,26,2,A4
354,155,Indira Bagewadi,24,2,A1
355,155,Jyothi Shankar,39,2,A2
356,156,Renuka Kumari,15,2,A1
357,157,Jyothi Shankar,39,2,A1
358,157,Nagaraj Naik,16,1,A2
359,158,Anitha Siddi,42,2,A1
360,158,Geetha Nayak,43,2,A2
361,159,Indira Bagewadi,24,2,A1
362,159,Renuka Kumari,15,2,A2
363,160,Renuka Kumari,15,2,A1
364,161,Indira Bagewadi,24,2,A1
365,161,Priya Swamy,37,2,A2
366,161,Latha Kumar,41,2,A3
367,162,Indira Bagewadi,24,2,A1
368,163,Shilpa Kattimani,32,2,A1
369,164,Shivanand Kumar,30,1,A1
370,165,Chandrashekar Salian,38,1,A1
371,165,Suresh Nayak,45,1,A2
372,165,Radha Raju,15,2,A3
373,166,Jyothi Shankar,39,2,A1
374,166,Prasad Kumar,19,1,A2
375,166,Renuka Gupta,26,2,A3
376,166,Anitha Siddi,42,2,A4
377,167,Indira Bagewadi,24,2,A1
378,167,Renuka Gupta,26,2,A2
379,167,Radha Raju,15,2,A3
380,168,Kamala Nayak,30,2,A1
381,169,Shivanand Kumar,30,1,A1
382,169,Renuka Gupta,26,2,A2
383,169,Latha Kumar,41,2,A3
384,169,Anitha Siddi,42,2,A4
385,170,Shivanand Kumar,30,1,A1
386,170,Geetha Nayak,43,2,A2
387,171,Renuka Kumari,15,2,A1
388,172,Kamala Nayak,30,2,A1
389,172,Prasad Kumar,19,1,A2
390,172,Shilpa Kattimani,32,2,A3
391,173,Radha Raju,15,2,A1
392,173,Renuka Gupta,26,2,A2
393,173,Suresh Nayak,45,1,A3
394,173,Krishna Lamani,15,1,A4
395,174,Krishna Lamani,15,1,A1
396,174,Anitha Siddi,42,2,A2
397,174,Priya Swamy,37,2,A3
398,174,Geetha Nayak,43,2,A4
399,175,Chandrashekar Salian,38,1,A1
400,175,Shivanand Kumar,30,1,A2
401,176,Renuka Gupta,26,2,A1
402,176,Radha Raju,15,2,A2
403,177,Geetha Nayak,43,2,A1
404,177,Renuka Gupta,26,2,A2
405,177,Anitha Siddi,42,2,A3
406,177,Prasad Kumar,19,1,A4
407,178,Shivanand Kumar,30,1,A1
408,178,Radha Raju,15,2,A2
409,179,Kamala Nayak,30,2,A1
410,179,Anitha Siddi,42,2,A2
411,180,Suresh Nayak,45,1,A1
412,180,Shilpa Kattimani,32,2,A2
413,180,Chandrashekar Salian,38,1,A3
414,181,Latha Kumar,41,2,A1
415,181,Shivanand Kumar,30,1,A2
416,181,Suresh Nayak,45,1,A3
417,181,Indira Bagewadi,24,2,A4
418,182,Renuka Kumari,15,2,A1
419,182,Jyothi Shankar,39,2,A2
420,183,Renuka Kumari,15,2,A1
421,183,Renuka Gupta,26,2,A2
422,183,Chandrashekar Salian,38,1,A3
423,184,Jyothi Shankar,39,2,A1
424,184,Latha Kumar,41,2,A2
425,184,Renuka Gupta,26,2,A3
426,184,Indira Bagewadi,24,2,A4
427,185,Indira Bagewadi,24,2,A1
428,185,Latha Kumar,41,2,A2
429,185,Chandrashekar Salian,38,1,A3
430,185,Radha Raju,15,2,A4
431,186,Suresh Nayak,45,1,A1
432,187,Kamala Nayak,30,2,A1
433,187,Prasad Kumar,19,1,A2
434,187,Jyothi Shankar,39,2,A3
435,187,Krishna Lamani,15,1,A4
436,188,Krishna Lamani,15,1,A1
437,189,Latha Kumar,41,2,A1
438,189,Priya Swamy,37,2,A2
439,190,Ramesh Devi,43,1,A1
440,190,Shivanand Kumar,30,1,A2
441,190,Anitha Siddi,42,2,A3
442,191,Krishna Lamani,15,1,A1
443,191,Prasad Kumar,19,1,A2
444,191,Geetha Nayak,43,2,A3
445,191,Indira Bagewadi,24,2,A4
446,192,Renuka Gupta,26,2,A1
447,193,Prasad Kumar,19,1,A1
448,193,Geetha Nayak,43,2,A2
449,193,Mohan Kumar,29,1,A3
450,194,Chandrashekar Salian,38,1,A1
451,194,Latha Kumar,41,2,A2
452,194,Suresh Nayak,45,1,A3
453,194,Indira Bagewadi,24,2,A4
454,195,Latha Kumar,41,2,A1
455,195,Radha Raju,15,2,A2
456,195,Renuka Kumari,15,2,A3
457,195,Kamala Nayak,30,2,A4
458,196,Priya Swamy,37,2,A1
459,197,Renuka Gupta,26,2,A1
460,198,Ramesh Devi,43,1,A1
461,198,Jyothi Shankar,39,2,A2
462,198,Radha Raju,15,2,A3
463,198,Shivanand Kumar,30,1,A4
464,199,Mohan Kumar,29,1,A1
465,199,Renuka Kumari,15,2,A2
466,200,Priya Swamy,37,2,A1
467,200,Renuka Gupta,26,2,A2
468,200,Latha Kumar,41,2,A3
469,200,Suresh Nayak,45,1,A4
470,201,Geetha Nayak,43,2,A1
471,201,Renuka Kumari,15,2,A2
472,201,Priya Swamy,37,2,A3
473,202,Chandrashekar Salian,38,1,A1
474,202,Priya Swamy,37,2,A2
475,203,Indira Bagewadi,24,2,A1
476,204,Indira Bagewadi,24,2,A1
477,204,Latha Kumar,41,2,A2
478,204,Shivanand Kumar,30,1,A3
479,204,Radha Raju,15,2,A4
480,205,Anitha Siddi,42,2,A1
481,206,Geetha Nayak,43,2,A1
482,207,Kamala Nayak,30,2,A1
483,207,Indira Bagewadi,24,2,A2
484,208,Krishna Lamani,15,1,A1
485,208,Renuka Gupta,26,2,A2
486,208,Radha Raju,15,2,A3
487,209,Kamala Nayak,30,2,A1
488,209,Geetha Nayak,43,2,A2
489,209,Indira Bagewadi,24,2,A3
490,210,Renuka Kumari,15,2,A1
491,211,Kamala Nayak,30,2,A1
492,211,Nagaraj Naik,16,1,A2
493,211,Shivanand Kumar,30,1,A3
494,211,Priya Swamy,37,2,A4
495,212,Krishna Lamani,15,1,A1
496,213,Priya Swamy,37,2,A1
497,214,Kamala Nayak,30,2,A1
498,214,Radha Raju,15,2,A2
499,214,Krishna Lamani,15,1,A3
500,215,Shivanand Kumar,30,1,A1
501,215,Renuka Kumari,15,2,A2
502,215,Prasad Kumar,19,1,A3
503,215,Radha Raju,15,2,A4
504,216,Kamala Nayak,30,2,A1
505,216,Priya Swamy,37,2,A2
506,216,Nagaraj Naik,16,1,A3
507,216,Renuka Kumari,15,2,A4
508,217,Renuka Kumari,15,2,A1
509,217,Suresh Nayak,45,1,A2
510,218,Latha Kumar,41,2,A1
511,218,Prasad Kumar,19,1,A2
512,218,Krishna Lamani,15,1,A3
513,219,Kamala Nayak,30,2,A1
514,219,Prasad Kumar,19,1,A2
515,219,Anitha Siddi,42,2,A3
516,220,Shivanand Kumar,30,1,A1
517,220,Chandrashekar Salian,38,1,A2
518,220,Ramesh Devi,43,1,A3
519,221,Renuka Kumari,15,2,A1
520,222,Kamala Nayak,30,2,A1
521,222,Nagaraj Naik,16,1,A2
522,222,Anitha Siddi,42,2,A3
523,223,Chandrashekar Salian,38,1,A1
524,223,Nagaraj Naik,16,1,A2
525,224,Radha Raju,15,2,A1
526,224,Latha Kumar,41,2,A2
527,224,Geetha Nayak,43,2,A3
528,224,Renuka Kumari,15,2,A4
529,225,Latha Kumar,41,2,A1
530,226,Ramesh Devi,43,1,A1
531,226,Jyothi Shankar,39,2,A2
532,226,Prasad Kumar,19,1,A3
533,227,Ramesh Devi,43,1,A1
534,227,Krishna Lamani,15,1,A2
535,227,Anitha Siddi,42,2,A3
536,227,Renuka Gupta,26,2,A4
537,228,Renuka Gupta,26,2,A1
538,229,Jyothi Shankar,39,2,A1
539,229,Prasad Kumar,19,1,A2
540,229,Renuka Gupta,26,2,A3
541,229,Chandrashekar Salian,38,1,A4
542,230,Renuka Gupta,26,2,A1
543,230,Latha Kumar,41,2,A2
544,230,Shilpa Kattimani,32,2,A3
545,230,Mohan Kumar,29,1,A4
546,231,Renuka Gupta,26,2,A1
547,231,Shivanand Kumar,30,1,A2
548,231,Prasad Kumar,19,1,A3
549,231,Anitha Siddi,42,2,A4
550,232,Anitha Siddi,42,2,A1
551,233,Ramesh Devi,43,1,A1
552,234,Renuka Gupta,26,2,A1
553,234,Nagaraj Naik,16,1,A2
554,234,Latha Kumar,41,2,A3
555,235,Indira Bagewadi,24,2,A1
556,235,Priya Swamy,37,2,A2
557,236,Anitha Siddi,42,2,A1
558,237,Ramesh Devi,43,1,A1
559,238,Suresh Nayak,45,1,A1
560,238,Prasad Kumar,19,1,A2
561,238,Jyothi Shankar,39,2,A3
562,238,Ramesh Devi,43,1,A4
563,239,Priya Swamy,37,2,A1
564,239,Renuka Kumari,15,2,A2
565,240,Suresh Nayak,45,1,A1
566,240,Anitha Siddi,42,2,A2
567,240,Priya Swamy,37,2,A3
568,240,Geetha Nayak,43,2,A4
569,241,Suresh Nayak,45,1,A1
570,241,Indira Bagewadi,24,2,A2
571,241,Radha Raju,15,2,A3
572,242,Kamala Nayak,30,2,A1
573,243,Suresh Nayak,45,1,A1
574,243,Chandrashekar Salian,38,1,A2
575,243,Prasad Kumar,19,1,A3
576,244,Shivanand Kumar,30,1,A1
577,244,Jyothi Shankar,39,2,A2
578,245,Priya Swamy,37,2,A1
579,245,Anitha Siddi,42,2,A2
580,245,Suresh Nayak,45,1,A3
581,245,Prasad Kumar,19,1,A4
582,246,Suresh Nayak,45,1,A1
583,246,Geetha Nayak,43,2,A2
584,246,Radha Raju,15,2,A3
585,247,Nagaraj Naik,16,1,A1
586,248,Shivanand Kumar,30,1,A1
587,248,Shilpa Kattimani,32,2,A2
588,248,Ramesh Devi,43,1,A3
589,249,Jyothi Shankar,39,2,A1
590,249,Latha Kumar,41,2,A2
591,249,Prasad Kumar,19,1,A3
592,249,Suresh Nayak,45,1,A4
593,250,Priya Swamy,37,2,A1
594,251,Jyothi Shankar,39,2,A1
595,251,Renuka Gupta,26,2,A2
596,251,Prasad Kumar,19,1,A3
597,251,Mohan Kumar,29,1,A4
598,252,Latha Kumar,41,2,A1
599,252,Krishna Lamani,15,1,A2
600,252,Suresh Nayak,45,1,A3
601,252,Shilpa Kattimani,32,2,A4
602,253,Prasad Kumar,19,1,A1
603,254,Suresh Nayak,45,1,A1
604,254,Ramesh Devi,43,1,A2
605,254,Mohan Kumar,29,1,A3
606,255,Shivanand Kumar,30,1,A1
607,255,Renuka Gupta,26,2,A2
608,255,Renuka Kumari,15,2,A3
609,256,Latha Kumar,41,2,A1
610,256,Ramesh Devi,43,1,A2
611,256,Nagaraj Naik,16,1,A3
612,256,Mohan Kumar,29,1,A4
613,257,Geetha Nayak,43,2,A1
614,257,Shivanand Kumar,30,1,A2
615,257,Prasad Kumar,19,1,A3
616,258,Renuka Kumari,15,2,A1
617,258,Prasad Kumar,19,1,A2
618,258,Kamala Nayak,30,2,A3
619,259,Kamala Nayak,30,2,A1
620,259,Chandrashekar Salian,38,1,A2
621,260,Geetha Nayak,43,2,A1
622,260,Mohan Kumar,29,1,A2
623,261,Geetha Nayak,43,2,A1
624,262,Radha Raju,15,2,A1
625,262,Anitha Siddi,42,2,A2
626,262,Latha Kumar,41,2,A3
627,263,Suresh Nayak,45,1,A1
628,263,Geetha Nayak,43,2,A2
629,263,Kamala Nayak,30,2,A3
630,263,Renuka Kumari,15,2,A4
631,264,Renuka Kumari,15,2,A1
632,265,Chandrashekar Salian,38,1,A1
633,266,Renuka Gupta,26,2,A1
634,266,Jyothi Shankar,39,2,A2
635,266,Chandrashekar Salian,38,1,A3
636,267,Renuka Kumari,15,2,A1
637,267,Chandrashekar Salian,38,1,A2
638,267,Nagaraj Naik,16,1,A3
639,268,Indira Bagewadi,24,2,A1
640,268,Prasad Kumar,19,1,A2
641,269,Renuka Gupta,26,2,A1
642,269,Anitha Siddi,42,2,A2
643,270,Geetha Nayak,43,2,A1
644,270,Anitha Siddi,42,2,A2
645,271,Ramesh Devi,43,1,A1
646,271,Nagaraj Naik,16,1,A2
647,271,Jyothi Shankar,39,2,A3
648,272,Chandrashekar Salian,38,1,A1
649,272,Latha Kumar,41,2,A2
650,272,Anitha Siddi,42,2,A3
651,273,Priya Swamy,37,2,A1
652,274,Nagaraj Naik,16,1,A1
653,274,Anitha Siddi,42,2,A2
654,274,Kamala Nayak,30,2,A3
655,275,Radha Raju,15,2,A1
656,275,Kamala Nayak,30,2,A2
657,275,Nagaraj Naik,16,1,A3
658,276,Indira Bagewadi,24,2,A1
659,276,Krishna Lamani,15,1,A2
660,276,Renuka Kumari,15,2,A3
661,277,Renuka Kumari,15,2,A1
662,277,Indira Bagewadi,24,2,A2
663,277,Radha Raju,15,2,A3
664,277,Nagaraj Naik,16,1,A4
665,278,Chandrashekar Salian,38,1,A1
666,278,Suresh Nayak,45,1,A2
667,279,Chandrashekar Salian,38,1,A1
668,279,Geetha Nayak,43,2,A2
669,279,Prasad Kumar,19,1,A3
670,279,Radha Raju,15,2,A4
671,280,Indira Bagewadi,24,2,A1
672,280,Prasad Kumar,19,1,A2
673,280,Shilpa Kattimani,32,2,A3
674,281,Shivanand Kumar,30,1,A1
675,282,Mohan Kumar,29,1,A1
676,282,Ramesh Devi,43,1,A2
677,283,Latha Kumar,41,2,A1
678,283,Nagaraj Naik,16,1,A2
679,283,Indira Bagewadi,24,2,A3
680,283,Ramesh Devi,43,1,A4
681,284,Priya Swamy,37,2,A1
682,284,Mohan Kumar,29,1,A2
683,285,Renuka Gupta,26,2,A1
684,285,Priya Swamy,37,2,A2
