VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
54,33,Mohan Bangera,35,1,0
55,33,Girish Shankar,30,1,0
56,34,Gopal Gupta,27,1,0
57,35,Mahesh Joshi,49,1,0
58,35,Pushpa Ganiger,25,2,0
59,35,Latha Gupta,34,2,0
60,36,Kamala Gowda,20,2,0
61,36,Kumaraswamy Meti,42,1,0
62,37,Sneha Kumar,57,2,0
63,38,Pushpa Poojary,45,2,0
64,38,Pooja Ganiger,23,2,0
65,39,Shivakumar Siddi,65,1,0
66,39,Padma Hiremath,15,2,0
67,40,Chandrika Kumari,21,2,0
68,41,Shivanand Bangera,39,3,0
69,42,Nagesh Swamy,39,1,0
70,43,Shobha Raju,38,2,0
71,44,Chandrashekar Naik,17,1,0
72,45,Priya Hosamani,25,2,0
73,46,Madhu Devi,30,1,0
74,46,Mahesh Hosamani,16,1,0
75,47,Asha Kulkarni,24,2,0
76,48,Ganesh Raju,41,1,0
77,49,Padma Desai,41,2,0
78,50,Hanumanthappa Siddi,17,1,0
79,50,Nagesh Kulkarni,38,1,0
80,51,Ganesh Hosamani,26,1,0
81,51,Chetan Angadi,32,1,0
82,51,Shobha Bai,38,2,0
83,52,Chetan Lamani,44,1,0
84,53,Renuka Gupta,26,2,0
85,54,Manjunath Bhat,24,1,0
86,55,Arun Kumari,23,1,0
87,55,Shilpa Bai,44,2,0
88,56,Swathi Shankar,32,2,0
89,56,Bharathi Kattimani,46,2,0
90,57,Kamala Prasad,34,2,0
91,58,Manoj Patil,34,1,0
92,59,Santosh Gowda,38,1,0
93,60,Nagesh Swamy,39,1,0
94,60,Kumaraswamy Nayak,44,3,0
95,61,Rashmi Poojary,38,2,0
96,62,Ganesh Siddi,42,1,0
97,62,Girish Acharya,35,1,0
98,63,Jyothi Hegde,43,2,0
99,64,Shankar Poojary,21,1,0
100,64,Ganesh Savanur,50,1,0
101,65,Divya Hiremath,31,2,0
102,65,Prakash Ganiger,23,1,0
103,65,Anand Bagewadi,25,1,0
104,66,Nagaraj Swamy,24,1,0
105,67,Sneha Lamani,45,2,0
106,68,Manjunath Rao,33,1,0
107,68,Lakshman Reddy,44,1,0
108,69,Kamala Gowda,20,2,0
109,69,Latha Murthy,32,2,0
110,70,Jyothi Gowda,37,2,0
111,71,Bharathi Savanur,26,2,0
112,72,Chandrashekar Murthy,34,1,0
113,73,Jagadish Swamy,15,1,0
114,74,Asha Hegde,30,2,0
115,75,Kamala Gowda,20,2,0
116,76,Vishwanath Kumar,38,1,0
117,77,Chandrika Kumari,21,2,0
118,78,Gopal Lamani,39,1,0
119,78,Sharada Kattimani,15,2,0
120,78,Basavaraj Bhat,32,1,0
121,79,Nagesh Hegde,37,1,0
122,80,Ashok Naikar,26,1,0
123,80,Saraswathi Naikar,21,2,0
124,81,Rajesh Acharya,41,1,0
125,81,Chandrika Bai,21,2,0
126,81,Santosh Hegde,55,1,0
127,82,Kamala Gowda,20,2,0
128,83,Vidya Savanur,19,2,0
129,84,Venkatesh Prasad,50,1,0
130,85,Latha Savanur,15,2,0
131,86,Sneha Gupta,36,2,0
132,87,Lakshmi Hosamani,15,2,0
133,88,Anil Salian,15,1,0
134,88,Krishna Hiremath,37,1,0
135,88,Kiran Naik,49,1,0
136,89,Anitha Shetty,28,2,0
137,89,Madhu Savanur,70,1,0
138,90,Venkatesh Desai,33,1,0
139,91,Sneha Gowda,31,2,0
140,92,Bharath Meti,41,1,0
141,93,Venkatesh Prasad,50,1,0
142,93,Gopal Murthy,26,1,0
143,93,Venkatesh Gupta,20,1,0
144,94,Vasantha Desai,42,2,0
145,95,Anand Gowda,18,1,0
146,96,Manjunath Bhat,24,1,0
147,96,Santosh Kulkarni,15,1,0
148,97,Vishwanath Patil,26,1,0
149,98,Sagar Angadi,44,1,0
150,99,Shivakumar Meti,29,1,0
151,100,Nandini Shetty,36,2,0
152,101,Santosh Patil,39,1,0
153,101,Sagar Patil,27,1,0
154,102,Deepa Naik,39,2,0
155,102,Vasantha Kambli,23,2,0
156,102,Jagadish Joshi,38,1,0
157,103,Basavaraj Hosamani,26,1,0
158,104,Sagar Hiremath,22,1,0
159,104,Vishwanath Swamy,30,1,0
160,105,Jyothi Meti,19,2,0
161,106,Santosh Gowda,38,1,0
162,107,Pushpa Joshi,23,2,0
163,108,Chandrashekar Naik,17,1,0
164,108,Manjunath Hegde,62,1,0
165,109,Mahesh Joshi,49,1,0
166,110,Jagadish Lamani,32,1,0
167,111,Ganesh Lamani,33,1,0
168,112,Siddaraju Prasad,21,1,0
169,112,Madhu Prasad,44,1,0
170,113,Swathi Rao,21,2,0
171,113,Suma Acharya,15,2,0
172,114,Shankar Desai,35,1,0
173,115,Sunitha Hosamani,31,2,0
174,116,Rekha Naikar,37,2,0
175,116,Ramesh Devi,15,1,0
176,116,Shilpa Kulkarni,15,2,0
177,117,Ravi Savanur,62,1,0
178,118,Ganesh Lamani,33,1,0
179,119,Ashok Hiremath,43,1,0
180,119,Kiran Swamy,17,1,0
181,119,Swathi Bangera,35,2,0
182,120,Anand Reddy,44,1,0
183,121,Chandrashekar Poojary,38,1,0
184,121,Shivakumar Siddi,49,1,0
185,122,Prakash Prasad,29,1,0
186,123,Renuka Naikar,35,2,0
187,124,Manoj Hegde,30,1,0
188,124,Madhu Prasad,51,1,0
189,124,Hanumanthappa Siddi,61,1,1
190,125,Ashok Savanur,31,1,0
191,126,Chetan Kumari,29,1,0
192,127,Prakash Yadav,15,1,0
193,128,Suresh Siddi,32,1,0
194,128,Kavitha Acharya,52,2,1
195,128,Siddaraju Salian,45,1,0
196,129,Shobha Gupta,28,2,0
197,130,Arun Siddi,48,1,0
198,131,Anand Ganiger,32,1,0
199,131,Kumaraswamy Hosamani,31,1,0
200,132,Chandrashekar Angadi,48,1,0
201,133,Geetha Siddi,36,2,0
202,133,Mangala Bai,17,2,0
203,134,Santosh Acharya,32,1,0
204,134,Latha Kumar,31,2,0
205,135,Latha Yadav,38,2,0
206,135,Chandrika Acharya,15,2,0
207,136,Vasantha Kumari,42,2,0
208,136,Chandrashekar Kumari,19,1,0
209,137,Priya Hosamani,25,2,0
210,138,Ganesh Raju,41,1,0
211,139,Shivanand Siddi,17,1,0
212,139,Latha Nayak,15,2,0
213,140,Chandrashekar Angadi,48,1,0
214,141,Santosh Patil,39,1,0
215,141,Pooja Poojary,35,2,0
216,141,Gopal Swamy,38,1,0
217,142,Chetan Kumari,29,1,0
218,142,Roopa Prasad,49,2,0
219,143,Umesh Joshi,32,1,0
220,144,Prasad Bai,29,1,0
221,144,Vishwanath Desai,25,1,0
222,145,Swathi Devi,16,2,0
223,145,Chetan Gupta,27,1,0
224,146,Nandini Hosamani,37,2,0
225,147,Manjunath Lamani,15,1,0
226,148,Bharathi Siddi,15,2,0
227,148,Girish Ganiger,15,1,0
228,149,Priya Kumari,25,2,0
229,149,Ramesh Acharya,41,1,0
230,150,Chetan Kumari,29,1,0
231,150,Manjunath Lamani,20,1,0
232,151,Venkatesh Ganiger,29,1,0
233,151,Pavan Desai,31,1,0
234,151,Chetan Raju,33,1,0
235,152,Arun Kumari,23,1,0
236,153,Shivakumar Bhat,22,1,0
237,154,Nagaraj Raju,39,1,0
238,154,Kamala Bai,38,2,0
239,154,Indira Bagewadi,46,2,0
240,155,Jyothi Desai,35,2,0
241,155,Santosh Shetty,28,1,0
242,156,Renuka Gupta,30,2,0
243,157,Vasantha Devi,15,2,0
244,157,Anand Hegde,15,1,1
245,158,Lakshman Bangera,16,1,0
246,159,Krishna Acharya,35,1,0
247,159,Pushpa Kambli,39,2,0
248,160,Siddaraju Shetty,28,1,0
249,161,Vishwanath Raju,43,1,0
250,161,Padma Devi,18,2,0
251,162,Nandini Hosamani,37,2,0
252,162,Manjunath Desai,40,1,0
253,163,Ramesh Bagewadi,30,1,0
254,164,Prakash Prasad,34,1,0
255,164,Asha Kumari,39,2,0
256,165,Rekha Naikar,37,2,0
257,166,Prakash Prasad,29,1,0
258,166,Bharath Bangera,58,1,0
259,166,Basavaraj Hosamani,33,1,0
260,167,Manoj Hegde,30,1,0
261,167,Priya Poojary,37,2,0
262,168,Mangala Kattimani,37,2,0
263,169,Srinivas Shankar,56,1,0
264,169,Chandrashekar Desai,22,1,0
265,169,Savitha Ganiger,30,2,0
266,170,Jagadish Kulkarni,37,1,0
267,171,Shivanand Bangera,64,1,0
268,172,Rekha Kumar,25,2,0
269,173,Chandrashekar Angadi,48,1,0
270,174,Renuka Naikar,35,2,0
271,174,Ashok Hiremath,55,1,0
272,175,Sachin Shetty,25,1,0
273,176,Latha Hiremath,27,2,0
274,176,Madhu Acharya,40,1,0
275,177,Manoj Hegde,30,1,0
276,178,Swathi Rao,21,2,0
277,179,Ramesh Bagewadi,30,1,0
278,180,Renuka Gupta,30,2,0
279,180,Geetha Siddi,36,2,0
280,181,Madhu Swamy,19,1,0
281,181,Priya Hosamani,25,2,0
282,182,Shankar Hegde,47,1,0
283,182,Girish Bai,36,1,0
284,183,Madhu Kulkarni,20,1,0
285,183,Savitha Hiremath,32,2,0
286,184,Darshan Naikar,20,1,0
287,185,Pavan Naik,39,1,0
288,186,Chandrika Desai,16,2,0
289,186,Santosh Swamy,47,1,0
290,187,Madhu Poojary,44,1,0
291,188,Anil Joshi,32,1,0
292,189,Srinivas Murthy,47,1,0
293,189,Vidya Reddy,51,2,0
294,189,Hanumanthappa Bai,28,1,0
295,190,Sagar Gupta,35,1,0
296,190,Kiran Kattimani,25,1,0
297,190,Deepa Kambli,38,2,0
298,191,Prakash Yadav,15,1,0
299,192,Chetan Kumari,29,1,0
300,193,Kumaraswamy Kulkarni,15,1,0
301,194,Rajesh Kumar,22,1,0
302,195,Krishna Acharya,35,1,0
303,196,Vasantha Bai,18,2,0
304,196,Nagesh Ganiger,16,1,0
305,197,Chandrashekar Naik,15,1,0
306,197,Chandrashekar Kambli,37,1,0
307,197,Rajesh Bagewadi,18,1,0
308,198,Pavan Acharya,44,1,0
309,198,Jyothi Prasad,26,2,0
310,199,Ramesh Swamy,15,1,0
311,200,Chandrashekar Naik,17,1,0
312,200,Deepak Meti,30,1,0
313,201,Lakshman Bangera,16,1,0
314,202,Sagar Yadav,29,1,0
315,203,Santosh Meti,49,1,0
316,204,Suma Devi,20,2,0
317,204,Radha Patil,15,2,0
318,205,Harish Joshi,32,1,0
319,206,Sharada Murthy,29,2,0
320,207,Sneha Acharya,45,2,0
321,208,Chandrashekar Murthy,44,1,0
322,208,Mohan Angadi,21,1,0
323,209,Anil Salian,15,1,0
324,209,Lakshman Shetty,31,1,0
325,210,Geetha Naikar,19,2,0
326,211,Chetan Gupta,27,1,0
327,211,Shivanand Gowda,15,1,0
328,212,Shobha Gupta,28,2,0
329,212,Asha Patil,28,2,0
330,213,Divya Yadav,30,2,0
331,214,Santosh Siddi,23,1,0
332,214,Manjunath Bai,26,1,0
333,215,Priya Bangera,45,2,0
334,215,Krishna Hiremath,40,1,0
335,216,Rashmi Bagewadi,30,2,0
336,217,Priya Kulkarni,48,2,0
337,217,Deepak Prasad,40,1,0
338,217,Kavitha Gowda,40,2,0
339,218,Savitha Hosamani,30,2,0
340,219,Sagar Hiremath,15,1,0
341,219,Gopal Shetty,42,1,0
342,219,Prasad Bai,41,1,0
343,220,Sachin Shetty,25,1,0
344,221,Kumaraswamy Angadi,54,1,0
345,221,Priya Gupta,17,2,0
346,221,Pavan Bangera,40,1,0
347,222,Gopal Lamani,28,1,0
348,222,Renuka Siddi,18,2,0
349,223,Kamala Kumar,45,2,0
350,223,Saraswathi Swamy,58,2,0
351,224,Shobha Naikar,25,2,0
352,225,Divya Bai,37,2,0
353,226,Rashmi Siddi,26,2,0
354,226,Shilpa Raju,37,2,0
355,227,Rajesh Kulkarni,34,1,0
356,228,Harish Bangera,33,1,0
357,229,Ganesh Devi,23,1,0
358,229,Geetha Naikar,46,2,0
359,230,Chandrashekar Naik,15,1,0
360,231,Prakash Reddy,41,1,0
361,231,Manoj Shetty,15,1,0
362,232,Pushpa Joshi,23,2,0
363,232,Prasad Yadav,15,1,0
364,233,Meena Yadav,33,2,0
365,234,Nagaraj Swamy,19,1,0
366,234,Jagadish Salian,36,1,0
367,235,Bharath Yadav,27,1,0
368,235,Swathi Reddy,16,2,0
369,236,Sharada Desai,40,2,0
370,237,Anand Gowda,18,1,0
371,237,Pavan Hosamani,18,1,0
372,238,Mangala Kattimani,37,2,0
373,239,Shivakumar Kattimani,15,1,0
374,239,Yogesh Ganiger,20,1,0
375,240,Swathi Shankar,32,2,0
376,241,Jyothi Gowda,37,2,1
377,242,Chandrashekar Murthy,34,1,0
378,243,Geetha Lamani,24,3,0
379,243,Divya Patil,38,2,0
380,244,Mangala Yadav,30,2,0
381,244,Kavitha Kambli,31,2,0
382,244,Vidya Siddi,42,2,0
383,245,Bharath Bhat,25,1,0
384,245,Meena Hosamani,22,2,0
385,245,Siddaraju Prasad,27,1,0
386,246,Shobha Gupta,28,2,0
387,246,Vishwanath Lamani,16,1,0
388,246,Yogesh Raju,34,1,0
389,247,Nandish Swamy,37,1,0
390,248,Basavaraj Nayak,19,1,0
391,248,Basavaraj Bangera,22,1,0
392,249,Venkatesh Siddi,17,1,0
393,250,Prakash Swamy,33,1,0
394,250,Deepa Rao,40,2,0
395,251,Surya Kumar,29,1,0
396,251,Sharada Yadav,47,2,0
397,252,Geetha Hiremath,48,2,0
398,252,Chetan Poojary,33,1,0
399,253,Yashodha Poojary,34,2,0
400,253,Pavan Ganiger,48,1,0
401,253,Umesh Shankar,44,1,0
402,254,Bharath Meti,41,1,0
403,255,Surya Joshi,38,1,0
404,255,Krishna Yadav,29,1,0
405,255,Sagar Kattimani,41,1,0
406,256,Asha Kulkarni,24,2,0
407,256,Santosh Reddy,38,1,0
408,257,Sneha Gupta,36,2,0
409,257,Sunitha Kumar,43,2,0
410,258,Geetha Siddi,36,2,0
411,258,Ambika Lamani,34,2,0
412,259,Latha Yadav,42,2,0
413,260,Parvathi Kattimani,35,2,0
414,260,Suresh Nayak,45,1,0
415,261,Manoj Joshi,48,1,0
416,262,Sachin Kambli,25,1,0
417,263,Ravi Swamy,30,1,0
418,263,Shobha Devi,32,2,0
419,263,Jyothi Savanur,54,2,0
420,264,Vidya Bangera,15,2,0
421,264,Vasantha Hosamani,37,2,0
422,265,Vinay Hiremath,15,1,0
423,266,Kumaraswamy Naikar,34,1,0
424,267,Pushpa Poojary,45,2,0
425,268,Rajesh Nayak,52,1,0
426,269,Suma Devi,20,2,0
427,269,Prasad Swamy,30,1,0
428,269,Santosh Savanur,17,1,0
429,270,Parvathi Yadav,19,2,0
430,270,Nandini Shankar,17,2,0
431,271,Pooja Savanur,34,2,0
432,271,Umesh Bai,36,1,0
433,271,Savitha Kattimani,39,2,0
434,272,Yashodha Kumar,34,2,0
435,273,Saraswathi Bagewadi,68,2,0
436,274,Nagaraj Siddi,34,1,1
437,275,Nagesh Hegde,37,1,0
438,276,Radha Swamy,44,2,0
439,277,Parvathi Bagewadi,15,2,0
440,278,Manjunath Rao,33,1,0
441,279,Chetan Lamani,44,1,0
442,279,Chetan Prasad,35,1,0
443,279,Kumaraswamy Bagewadi,16,1,0
444,280,Chetan Lamani,44,1,0
445,281,Chetan Lamani,44,1,0
446,282,Vidya Savanur,19,2,0
447,282,Mohan Poojary,30,1,0
448,283,Surya Prasad,30,1,0
449,284,Rajesh Kumar,22,1,0
450,284,Suresh Salian,23,1,0
451,285,Prakash Yadav,15,1,0
452,286,Naveen Gupta,22,1,0
453,287,Pavan Acharya,44,1,0
454,288,Divya Bhat,15,2,0
455,288,Vasantha Yadav,24,2,0
456,288,Pooja Bhat,17,2,0
457,289,Kiran Bagewadi,53,1,0
458,289,Nandish Joshi,15,1,0
459,289,Sharada Murthy,19,2,0
460,290,Divya Kumari,15,2,0
461,290,Pushpa Yadav,15,2,0
462,291,Shobha Raju,50,2,0
463,291,Prakash Naik,15,1,0
464,292,Prakash Prasad,34,1,0
465,292,Pushpa Ganiger,25,2,0
466,293,Madhu Devi,30,1,0
467,293,Lakshman Prasad,20,1,0
468,294,Vasantha Prasad,15,3,0
469,294,Swathi Desai,49,2,0
470,294,Geetha Lamani,43,2,0
471,295,Suma Gowda,46,2,0
472,296,Gopal Lamani,28,1,0
473,297,Shivanand Salian,28,1,0
474,298,Padma Desai,41,2,0
475,298,Vidya Salian,33,2,0
476,298,Savitha Salian,30,2,0
477,299,Nagaraj Raju,17,1,0
478,299,Nagesh Bai,19,1,0
479,300,Sunitha Bangera,54,2,0
480,301,Chandrika Poojary,49,2,0
481,301,Yogesh Savanur,20,1,0
482,302,Sunitha Bangera,54,2,0
483,302,Roopa Raju,39,2,0
484,303,Swathi Devi,16,2,0
485,304,Renuka Gupta,30,2,0
486,305,Ramesh Bagewadi,30,1,0
487,306,Roopa Prasad,49,2,0
488,306,Naveen Lamani,22,1,0
489,307,Pushpa Kambli,39,2,0
490,307,Pavan Naik,39,1,0
491,308,Ganesh Hosamani,35,1,0
492,308,Santosh Angadi,31,1,0
493,308,Priya Acharya,33,2,0
494,309,Suresh Raju,16,1,0
495,309,Chandrika Gupta,15,2,0
496,309,Radha Murthy,50,2,0
497,310,Sneha Acharya,33,2,0
498,311,Manjunath Rao,33,1,0
499,312,Deepa Prasad,27,2,0
500,312,Sachin Hiremath,25,1,0
501,313,Ravi Desai,15,1,0
502,313,Bharathi Raju,57,2,0
503,314,Gopal Lamani,28,1,0
504,314,Vishwanath Shankar,51,1,0
505,314,Meena Yadav,33,2,0
506,315,Parvathi Ganiger,27,2,0
507,315,Ashok Savanur,31,1,0
508,316,Santosh Patil,39,1,0
509,316,Jyothi Bangera,15,2,0
510,316,Pavan Acharya,32,1,0
511,317,Padma Shankar,20,2,0
512,318,Sagar Shetty,33,1,0
513,318,Naveen Yadav,55,1,0
514,318,Ravi Acharya,17,1,0
515,319,Savitha Savanur,25,2,0
516,319,Anil Shankar,23,1,0
517,320,Kumaraswamy Angadi,54,1,0
518,321,Saraswathi Naikar,35,2,0
519,322,Nandini Desai,34,2,0
520,322,Chetan Swamy,36,1,0
521,322,Rekha Devi,15,2,0
522,323,Chandrashekar Savanur,21,1,0
523,323,Vinay Siddi,32,1,0
524,323,Hanumanthappa Devi,28,1,0
525,324,Chandrashekar Naik,17,1,0
526,324,Vishwanath Gupta,17,1,0
527,325,Lakshmi Hosamani,15,2,0
528,326,Shivanand Savanur,15,1,0
529,326,Saraswathi Siddi,52,2,0
530,326,Prakash Savanur,53,1,0
531,327,Meena Hosamani,54,3,0
532,328,Surya Kumar,29,1,0
533,329,Sunitha Hosamani,31,2,0
534,330,Deepa Kattimani,38,2,0
535,331,Shivakumar Kattimani,44,1,0
536,331,Padma Savanur,24,2,0
537,332,Prakash Yadav,15,1,0
538,332,Asha Bagewadi,15,2,0
539,333,Renuka Kambli,56,2,0
540,334,Vasantha Bai,18,2,0
541,335,Roopa Prasad,49,2,0
542,335,Mangala Savanur,33,3,0
543,336,Sagar Hiremath,15,1,0
544,337,Mangala Kattimani,37,2,0
545,337,Sachin Bai,37,1,0
546,338,Vishwanath Kumar,38,1,1
547,339,Latha Yadav,38,2,0
548,339,Chetan Naikar,35,1,0
549,340,Hanumanthappa Siddi,17,1,0
550,340,Rajesh Lamani,32,1,0
551,341,Srinivas Reddy,36,1,0
552,341,Manjunath Savanur,38,1,0
553,342,Srinivas Bai,52,1,0
554,343,Rashmi Poojary,38,2,0
555,343,Vishwanath Poojary,39,1,0
556,343,Bharath Naikar,24,1,1
557,344,Kumaraswamy Bangera,23,1,0
558,344,Rashmi Devi,54,2,0
559,345,Manoj Joshi,48,1,0
560,346,Indira Bai,45,2,0
561,346,Madhu Devi,47,1,0
562,347,Arun Kulkarni,31,1,0
563,348,Lakshmi Bhat,19,2,0
564,349,Darshan Naikar,20,1,0
565,349,Shivanand Nayak,34,1,0
566,350,Lakshmi Gupta,40,2,0
567,350,Jyothi Patil,20,2,0
568,351,Prakash Yadav,15,1,0
569,352,Shivakumar Kattimani,44,1,0
570,353,Anand Reddy,44,1,0
571,354,Sagar Yadav,29,1,0
572,355,Prakash Murthy,36,1,0
573,356,Siddaraju Salian,41,1,0
574,357,Srinivas Murthy,47,1,0
575,357,Geetha Raju,35,2,0
576,357,Radha Kumari,42,2,0
577,358,Indira Yadav,15,2,0
578,359,Prasad Kumar,15,1,0
579,359,Chetan Kumari,35,1,0
580,360,Darshan Naikar,20,1,0
581,361,Shivakumar Hiremath,44,1,0
582,361,Parvathi Shankar,38,2,0
583,362,Kamala Swamy,15,2,0
584,362,Naveen Bai,35,1,0
585,362,Jyothi Kumar,40,2,0
586,363,Chandrika Gowda,15,2,0
587,363,Srinivas Gupta,27,1,0
588,363,Padma Bagewadi,22,2,0
589,364,Sunitha Bangera,54,2,0
590,365,Parvathi Kattimani,35,2,0
591,365,Deepa Prasad,27,2,0
592,366,Prakash Raju,37,1,0
593,366,Rekha Gupta,39,2,0
594,367,Shivanand Bangera,64,1,0
595,368,Kumaraswamy Raju,33,1,0
596,369,Bharath Bai,57,1,0
597,370,Padma Desai,41,2,0
598,370,Shivakumar Kumar,15,1,0
599,370,Indira Rao,32,2,0
600,371,Deepa Kattimani,38,2,0
601,371,Pooja Prasad,35,2,0
602,371,Anand Shetty,20,1,0
603,372,Hanumanthappa Bai,28,1,0
604,372,Manjunath Nayak,37,1,0
605,372,Kiran Naikar,47,1,0
606,373,Suresh Raju,16,1,0
607,373,Shobha Hiremath,29,2,0
608,374,Latha Kumar,41,2,0
609,375,Ganesh Raju,41,1,0
610,376,Kumaraswamy Bangera,23,1,0
611,377,Asha Hegde,30,2,0
612,377,Jyothi Poojary,43,2,0
613,378,Chandrashekar Poojary,38,1,0
614,379,Asha Rao,35,2,0
615,380,Geetha Naikar,19,2,0
616,380,Indira Devi,23,2,0
617,381,Swathi Devi,16,2,0
618,381,Renuka Yadav,15,2,0
619,381,Shankar Gupta,36,1,0
620,382,Kiran Rao,41,1,0
621,383,Chetan Kumari,29,1,0
622,384,Surya Joshi,38,1,0
623,385,Nandini Swamy,25,2,0
624,385,Siddaraju Kulkarni,27,1,0
625,386,Rajesh Naikar,34,1,0
626,387,Indira Naik,17,2,0
627,387,Pushpa Angadi,21,2,0
628,388,Santosh Siddi,23,1,0
629,388,Renuka Shankar,15,2,0
630,389,Ganesh Murthy,48,1,0
631,389,Rajesh Raju,47,1,0
632,390,Vasantha Gowda,50,2,0
633,390,Suma Shankar,21,2,0
634,390,Chetan Desai,22,1,0
635,391,Sagar Hiremath,22,1,0
636,392,Jyothi Kumar,40,2,0
637,392,Bharathi Angadi,29,2,0
638,393,Pooja Reddy,30,2,0
639,394,Vasantha Kumari,42,2,0
640,394,Padma Bangera,48,2,0
641,395,Meena Hosamani,54,3,0
642,395,Nagesh Siddi,33,1,0
643,396,Madhu Desai,21,1,0
644,397,Hanumanthappa Bagewadi,24,1,0
645,397,Anil Rao,27,1,0
646,398,Yashodha Bagewadi,33,2,0
647,398,Shankar Ganiger,39,1,0
648,399,Indira Murthy,29,2,0
649,400,Nandish Yadav,46,1,0
650,401,Indira Bai,45,2,0
651,401,Anil Salian,46,1,0
652,402,Madhu Meti,61,1,0
653,403,Latha Kumar,41,2,0
654,404,Ashok Raju,47,1,0
655,405,Gopal Poojary,36,1,0
656,405,Rashmi Savanur,38,2,0
657,405,Prakash Gowda,46,1,0
658,406,Ravi Savanur,62,1,0
659,406,Gopal Angadi,39,1,0
660,407,Pavan Joshi,30,1,0
661,407,Deepa Kambli,38,2,0
662,408,Shobha Raju,50,2,0
663,408,Rajeshwari Gowda,22,2,0
664,409,Padma Desai,41,2,0
665,410,Vasantha Nayak,38,2,0
666,411,Gopal Gupta,27,1,0
667,411,Rajeshwari Kambli,56,2,0
668,411,Shivakumar Patil,31,1,0
669,412,Yashodha Kumar,34,2,0
670,413,Jyothi Desai,35,2,0
671,414,Shobha Raju,50,2,0
672,414,Siddaraju Prasad,27,1,0
673,415,Gopal Lamani,28,1,0
674,415,Divya Bangera,33,2,0
675,416,Kumaraswamy Naikar,34,1,0
676,417,Srinivas Bai,52,1,0
677,417,Savitha Raju,32,2,0
678,417,Santosh Yadav,38,1,0
679,418,Gopal Poojary,36,1,0
680,419,Meena Hosamani,54,3,0
681,420,Chandrika Gowda,25,3,0
682,421,Nagaraj Raju,17,1,0
683,421,Mangala Swamy,29,2,0
684,422,Manjunath Bangera,31,1,0
685,422,Parvathi Rao,24,2,0
686,423,Prakash Reddy,41,1,0
687,423,Anil Patil,19,1,0
688,423,Deepa Joshi,17,2,0
689,424,Rajesh Acharya,15,1,0
690,425,Indira Yadav,15,2,0
691,426,Girish Patil,45,1,0
692,426,Asha Prasad,15,2,0
693,426,Manoj Bagewadi,15,1,0
694,427,Deepak Kambli,19,1,0
695,427,Ravi Ganiger,23,1,0
696,428,Swathi Shankar,32,2,0
697,429,Ramesh Patil,15,1,0
698,429,Surya Salian,35,1,0
699,430,Chandrika Desai,16,2,0
700,430,Vasantha Murthy,15,2,0
701,431,Kumaraswamy Kulkarni,15,1,0
702,431,Lakshman Bangera,15,1,0
703,432,Jagadish Kulkarni,37,1,0
704,432,Pushpa Murthy,18,2,0
705,433,Lakshman Ganiger,36,1,0
706,433,Chetan Hosamani,15,1,0
707,433,Jagadish Shetty,38,1,0
708,434,Prakash Rao,44,3,0
709,435,Manjunath Bhat,24,1,0
710,436,Indira Yadav,15,2,0
711,436,Jagadish Savanur,50,1,0
712,437,Sneha Gupta,36,2,0
713,438,Santosh Siddi,23,1,0
714,438,Shivakumar Siddi,36,1,0
715,439,Priya Shankar,48,2,0
