cdr_id,caller_name,receiver_name,call_date,call_duration_seconds,tower_district_id,linked_accused_id,linked_case_id
184,Latha Hosamani,Santosh Nayak,2024-09-07,313,29,5943,2369
185,Priya Kattimani,Hanumanthappa Savanur,2023-09-25,209,2,65,28
186,Jyothi Nayak,Meena Salian,2024-10-15,257,18,,
187,Ambika Kambli,Shobha Murthy,2024-11-21,166,28,,
188,Yashodha Naik,Sneha Joshi,2024-12-15,452,28,1414,568
189,Priya Naik,Prasad Nayak,2023-08-05,535,20,404,177
190,Shankar Hosamani,Santosh Salian,2024-04-18,585,2,5363,2133
191,Siddaraju Prasad,Nagesh Kambli,2023-01-07,171,14,3770,1501
192,Radha Raju,Mahesh Gupta,2023-11-04,527,3,503,215
193,Nandish Hiremath,Mahesh Gowda,2024-09-14,260,4,2018,805
194,Madhu Meti,Shivakumar Hegde,2024-05-14,295,26,2745,1099
195,Divya Bai,Mahesh Gupta,2023-07-06,575,14,,
196,Jagadish Patil,Indira Lamani,2024-02-04,339,15,,
197,Jagadish Salian,Shivakumar Meti,2023-09-04,388,2,,
198,Siddaraju Nayak,Vidya Rao,2023-02-27,544,6,,
199,Surya Meti,Arun Acharya,2024-08-31,396,11,,
200,Priya Kumari,Jyothi Kambli,2023-10-14,382,16,6937,2760
201,Latha Kumari,Sneha Joshi,2023-05-15,420,20,6396,2544
202,Rajesh Lamani,Vidya Salian,2023-08-19,437,6,5944,2370
203,Ganesh Murthy,Ramesh Hosamani,2024-01-12,454,25,4734,1883
204,Nandini Swamy,Rajesh Kattimani,2024-06-07,394,11,3334,1331
205,Shankar Shankar,Basavaraj Desai,2024-10-01,279,29,,
206,Latha Kumari,Kumaraswamy Hegde,2023-10-06,129,19,6046,2409
207,Arun Shetty,Girish Bai,2024-05-16,72,13,1108,444
208,Vasantha Bai,Arun Raju,2023-10-14,133,1,7535,2998
209,Pushpa Hegde,Madhu Kumar,2024-04-11,214,14,,
210,Swathi Hegde,Sharada Bhat,2023-10-07,275,13,,
211,Suma Ganiger,Prasad Salian,2024-03-01,378,29,1180,473
212,Shobha Murthy,Prakash Shankar,2024-03-11,249,24,,
213,Mangala Raju,Shobha Murthy,2023-02-11,505,10,2651,1065
214,Ramesh Hosamani,Manjunath Yadav,2024-09-10,485,14,3999,1598
215,Ganesh Kattimani,Chetan Gupta,2024-04-27,34,25,5427,2160
216,Basavaraj Naikar,Vishwanath Gupta,2024-10-13,219,6,,
217,Ravi Ganiger,Vasantha Lamani,2023-04-24,298,21,,
218,Shivakumar Patil,Lakshmi Kattimani,2024-07-29,483,28,,
219,Roopa Kumari,Pavan Naik,2024-04-11,386,24,,
220,Ashok Kumari,Kumaraswamy Hegde,2024-05-27,38,1,48,22
221,Latha Hosamani,Manjunath Desai,2023-10-04,526,6,5884,2345
222,Anitha Siddi,Radha Murthy,2023-02-22,592,11,,
223,Meena Salian,Harish Kulkarni,2024-02-02,437,6,,
224,Rekha Naik,Jyothi Joshi,2023-09-13,335,19,6402,2545
225,Latha Hosamani,Yogesh Bhat,2024-09-26,139,6,5926,2363
226,Arun Yadav,Darshan Hegde,2023-07-03,181,12,,
227,Pavan Shetty,Divya Gowda,2023-07-18,392,26,,
228,Anand Savanur,Priya Swamy,2023-11-25,291,5,1069,431
229,Manjunath Ganiger,Naveen Raju,2024-08-30,182,28,1344,540
230,Prasad Nayak,Nandish Patil,2023-09-13,441,24,,
231,Anand Nayak,Prasad Kumar,2023-10-12,432,4,1975,789
232,Suma Meti,Bharathi Meti,2024-09-19,97,28,5257,2094
233,Chetan Kulkarni,Ganesh Kumari,2023-05-08,580,27,,
234,Renuka Kumari,Rajesh Devi,2023-03-02,509,3,471,201
235,Ambika Kattimani,Pushpa Salian,2023-08-21,338,28,5025,1998
236,Sagar Patil,Surya Devi,2023-01-07,244,7,10584,4470
237,Ashok Hiremath,Deepak Raju,2023-06-22,522,10,,
238,Rashmi Angadi,Vishwanath Prasad,2023-12-13,35,26,,
239,Anand Savanur,Ramesh Yadav,2023-06-12,489,22,,
240,Krishna Bagewadi,Darshan Bhat,2024-05-15,443,7,1731,686
241,Ashok Nayak,Shobha Swamy,2024-06-08,237,27,,
242,Ravi Rao,Suresh Angadi,2024-05-01,240,1,16,7
243,Meena Murthy,Madhu Meti,2023-10-06,510,23,7519,2990
244,Manjunath Desai,Santosh Salian,2024-01-21,87,26,2913,1167
245,Vasantha Bai,Yashodha Naik,2023-04-12,290,1,7184,2857
246,Ravi Rao,Ashok Patil,2023-02-12,385,1,57,25
247,Bharath Angadi,Suma Joshi,2023-07-14,404,7,,
248,Radha Kumar,Santosh Gowda,2023-04-07,204,17,1803,717
249,Padma Bagewadi,Sagar Joshi,2023-11-06,466,12,3112,1245
250,Anand Nayak,Umesh Bangera,2023-07-12,137,1,20288,9301
251,Nandish Gowda,Madhu Gupta,2023-09-04,406,14,7456,2963
252,Deepa Reddy,Shivanand Gowda,2024-07-19,149,18,3515,1404
253,Santosh Desai,Yashodha Ganiger,2024-12-05,159,24,4770,1897
254,Darshan Bhat,Meena Hiremath,2024-05-12,470,25,4522,1805
255,Renuka Hegde,Sneha Desai,2023-07-18,331,29,,
256,Basavaraj Desai,Nandini Hosamani,2023-12-21,104,5,1061,428
257,Vidya Shankar,Nandish Salian,2024-01-06,313,3,6674,2650
258,Chandrika Gupta,Priya Hiremath,2023-04-19,293,17,6837,2718
259,Shivanand Desai,Meena Hiremath,2023-06-09,264,1,4496,1795
260,Nandini Naik,Radha Lamani,2024-10-24,122,3,,
261,Manoj Hegde,Shivanand Hosamani,2023-11-09,90,23,21212,9748
262,Indira Ganiger,Bharath Yadav,2023-10-26,147,12,,
263,Shankar Hosamani,Ashok Kumari,2024-10-08,73,24,5310,2112
264,Suma Gowda,Srinivas Kulkarni,2024-09-07,281,11,3249,1295
265,Santosh Nayak,Suresh Angadi,2023-04-16,481,21,6647,2638
266,Vinay Bai,Ambika Kattimani,2023-06-27,277,1,16914,7615
267,Ravi Hosamani,Kiran Bhat,2024-10-27,118,20,,
268,Saraswathi Desai,Sneha Naik,2024-04-24,586,8,,
269,Prasad Salian,Madhu Naikar,2024-12-15,172,20,,
270,Srinivas Kulkarni,Vishwanath Acharya,2024-04-20,590,5,931,382
271,Srinivas Bagewadi,Madhu Siddi,2024-10-27,251,26,4798,1908
272,Saraswathi Patil,Krishna Bagewadi,2024-03-18,45,1,7367,2930
273,Shivakumar Kulkarni,Lakshmi Gowda,2024-11-13,523,3,,
274,Chandrika Joshi,Mangala Swamy,2024-01-08,30,12,3200,1276
275,Ashok Poojary,Basavaraj Ganiger,2023-06-24,286,7,1823,726
276,Nagesh Kumari,Saraswathi Patil,2023-10-13,451,2,2157,866
277,Shankar Bagewadi,Kavitha Hegde,2024-04-02,114,11,,
278,Ramesh Lamani,Padma Bangera,2023-07-08,233,19,6164,2452
279,Chandrika Kumar,Shivakumar Reddy,2023-05-30,119,1,,
280,Srinivas Bangera,Suma Kumar,2024-11-03,123,13,,
281,Pavan Naikar,Prasad Naikar,2024-06-06,154,8,3426,1367
282,Roopa Gupta,Renuka Hegde,2023-03-26,459,12,,
283,Divya Patil,Jagadish Joshi,2023-02-17,85,28,,
284,Suresh Bhat,Suma Patil,2024-11-16,559,25,,
285,Deepa Lamani,Umesh Acharya,2024-09-20,342,22,,
286,Sachin Bhat,Radha Kumar,2023-08-03,409,28,1397,561
287,Anitha Patil,Nagesh Kambli,2024-02-28,320,8,3767,1500
288,Pushpa Salian,Basavaraj Desai,2023-10-06,524,11,3297,1319
289,Manjunath Murthy,Shilpa Devi,2024-04-06,521,27,,
290,Mangala Devi,Rekha Bhat,2023-02-14,576,12,4369,1748
291,Vidya Raju,Shivanand Desai,2024-05-28,127,21,6767,2689
292,Sneha Lamani,Asha Naik,2023-07-14,31,8,,
293,Jagadish Hegde,Bharath Gupta,2023-05-27,208,2,,
294,Deepak Ganiger,Naveen Bagewadi,2024-08-05,257,16,19840,9082
295,Prasad Salian,Kumaraswamy Acharya,2024-11-28,65,29,5896,2351
296,Latha Kumar,Ramesh Kumar,2023-08-13,361,21,543,230
297,Basavaraj Ganiger,Ravi Joshi,2024-12-29,209,9,12253,5280
298,Suma Kambli,Mahesh Gupta,2024-06-07,577,28,4939,1961
299,Vishwanath Naikar,Ramesh Lamani,2024-12-20,127,17,1716,681
300,Darshan Shankar,Shivanand Desai,2023-04-28,580,28,7037,2800
301,Radha Kumar,Rajesh Devi,2024-08-27,73,7,1577,625
302,Santosh Desai,Deepak Ganiger,2023-05-18,439,1,,
303,Basavaraj Prasad,Chetan Salian,2024-03-20,251,17,7090,2818
304,Manoj Acharya,Prasad Kambli,2023-04-17,36,28,4935,1959
305,Vishwanath Naikar,Pavan Rao,2023-11-09,126,7,1652,657
306,Pushpa Kumar,Suma Meti,2024-03-05,578,26,,
307,Jagadish Nayak,Divya Kulkarni,2024-07-29,381,9,,
308,Manjunath Yadav,Meena Naikar,2024-05-28,302,9,2477,995
309,Priya Kattimani,Suma Gowda,2024-08-21,329,2,105,44
310,Suma Meti,Santosh Angadi,2023-11-25,289,28,5056,2012
311,Anil Naikar,Ashok Hiremath,2023-06-04,536,29,1259,506
312,Renuka Yadav,Sagar Nayak,2023-03-01,243,21,,
313,Parvathi Hosamani,Yogesh Reddy,2024-02-14,76,11,,
314,Chandrashekar Bai,Deepa Hegde,2024-06-12,45,26,,
315,Jyothi Desai,Basavaraj Prasad,2024-11-24,38,23,7286,2898
316,Girish Kattimani,Deepa Hosamani,2023-07-26,289,18,,
317,Ramesh Hosamani,Ravi Rao,2023-12-29,509,13,4110,1644
318,Sachin Gupta,Roopa Bangera,2024-09-17,380,6,,
319,Ganesh Kattimani,Girish Bagewadi,2023-11-09,236,25,5584,2223
320,Rekha Yadav,Harish Naik,2023-11-04,272,9,,
321,Renuka Swamy,Vinay Swamy,2024-01-29,583,23,7493,2980
322,Shilpa Kattimani,Yogesh Yadav,2024-11-13,554,21,601,252
323,Deepa Lamani,Santosh Kambli,2024-04-12,162,11,,
324,Latha Hiremath,Rajesh Bhat,2023-01-03,332,6,,
325,Asha Devi,Shivanand Reddy,2023-05-17,389,18,,
326,Suresh Ganiger,Srinivas Siddi,2024-03-11,260,29,5876,2343
327,Sachin Gowda,Geetha Bangera,2024-12-07,217,11,,
328,Srinivas Siddi,Nandini Hosamani,2023-04-16,445,21,6648,2638
329,Manjunath Ganiger,Latha Bagewadi,2023-09-21,272,6,1347,541
330,Sunitha Kattimani,Bharathi Bangera,2023-09-02,595,12,,
331,Priya Devi,Shilpa Devi,2024-07-10,212,28,1417,569
332,Prakash Reddy,Ravi Devi,2023-09-06,488,1,9248,3828
333,Roopa Naik,Manjunath Gupta,2024-04-30,259,21,,
334,Bharath Yadav,Chandrashekar Bai,2024-02-17,519,24,,
335,Deepa Reddy,Jyothi Shankar,2023-09-11,282,18,3472,1385
336,Srinivas Kulkarni,Renuka Kumar,2024-09-17,228,13,875,363
337,Anil Bhat,Kumaraswamy Acharya,2024-05-15,143,25,4628,1846
338,Lakshman Savanur,Shivanand Acharya,2024-12-16,353,14,,
339,Madhu Kulkarni,Prasad Salian,2023-11-15,476,8,3745,1492
340,Mahesh Gupta,Naveen Raju,2023-12-09,389,24,5517,2196
341,Renuka Kumar,Indira Rao,2023-06-06,262,17,1851,737
342,Vidya Rao,Deepa Bai,2023-08-22,189,9,9922,4160
343,Mahesh Gowda,Jagadish Yadav,2023-05-19,244,8,3510,1402
344,Meena Murthy,Vishwanath Naikar,2023-04-09,560,1,7491,2979
345,Girish Nayak,Pooja Shetty,2024-08-07,513,17,1672,664
346,Santosh Salian,Chetan Gupta,2023-09-03,310,19,6073,2418
347,Rajesh Lamani,Kiran Yadav,2023-10-26,545,30,,
348,Kiran Hiremath,Rekha Angadi,2023-06-12,297,4,,
349,Meena Gowda,Ashok Kumari,2023-04-08,107,1,4426,1769
350,Anitha Patil,Pavan Naikar,2024-01-07,571,18,3710,1476
351,Jagadish Naikar,Jagadish Meti,2023-01-19,357,18,,
352,Basavaraj Prasad,Deepa Reddy,2023-09-03,571,17,6951,2765
353,Geetha Gupta,Arun Shetty,2023-04-23,132,3,,
354,Hanumanthappa Bai,Priya Hiremath,2023-09-08,379,17,7010,2790
355,Latha Gupta,Anitha Kulkarni,2023-07-29,194,24,4307,1723
356,Jyothi Poojary,Santosh Desai,2024-12-07,217,24,4771,1897
357,Shivakumar Hiremath,Arun Bai,2023-06-01,565,2,,
358,Renuka Bagewadi,Yogesh Bhat,2023-06-30,236,19,6272,2496
359,Mahesh Gupta,Nandish Salian,2024-08-08,508,7,1628,649
360,Gopal Shankar,Anitha Murthy,2023-09-26,312,26,,
361,Mahesh Naik,Sharada Hiremath,2024-11-27,104,16,,
362,Nandish Hiremath,Lakshman Shetty,2024-09-03,327,4,1945,777
363,Kumaraswamy Acharya,Vishwanath Murthy,2023-01-06,286,6,1448,580
364,Shankar Savanur,Deepa Kambli,2023-08-13,50,10,,
365,Rekha Shetty,Darshan Gupta,2023-03-20,175,8,,
366,Lakshman Shetty,Ramesh Angadi,2024-07-24,157,4,2001,798
367,Chetan Gupta,Nandish Salian,2023-03-02,255,27,2809,1126
368,Shivanand Raju,Swathi Bangera,2024-05-12,264,15,,
369,Shobha Kulkarni,Vishwanath Naikar,2023-08-08,286,30,2354,944
370,Parvathi Hosamani,Jyothi Reddy,2023-08-23,504,8,,
371,Anil Patil,Manjunath Hiremath,2023-07-30,561,4,,
372,Latha Murthy,Jagadish Swamy,2024-11-20,343,8,,
373,Parvathi Ganiger,Siddaraju Bhat,2024-11-20,370,6,12536,5421
374,Siddaraju Kulkarni,Nandish Gowda,2024-07-23,438,5,,
375,Anil Bhat,Pavan Naikar,2023-06-18,95,25,4524,1807
376,Jagadish Kumari,Padma Gowda,2024-09-17,51,11,3336,1333
377,Mahesh Bhat,Shivakumar Kumari,2024-12-27,509,17,1553,618
378,Mohan Bangera,Ambika Ganiger,2023-02-15,70,16,,
379,Ganesh Kattimani,Manjunath Ganiger,2024-10-04,416,25,5465,2174
380,Jagadish Rao,Chandrashekar Bai,2023-12-23,117,28,,
381,Bharath Hegde,Shivakumar Hegde,2023-11-06,540,3,6590,2615
382,Kamala Ganiger,Darshan Murthy,2023-05-02,90,5,20914,9606
383,Geetha Nayak,Girish Nayak,2023-02-02,100,3,360,158
384,Rajesh Devi,Prasad Kumar,2023-05-26,343,6,5233,2083
385,Krishna Yadav,Yogesh Bhat,2024-06-21,354,17,6817,2709
386,Mahesh Gowda,Shivanand Kumar,2024-05-14,598,8,3712,1477
387,Divya Reddy,Girish Bai,2023-02-21,248,24,5486,2187
388,Saraswathi Bhat,Hanumanthappa Rao,2024-03-05,495,29,,
