txn_id,sender_name,receiver_name,amount,txn_date,txn_type,linked_case_id,linked_accused_id,is_suspicious
30,Chandrika Gupta,Bharath Kattimani,47772.68,2023-07-15,UPI,2707,6810,0
31,Madhu Devi,Pooja Rao,500,2023-11-12,IMPS,9961,21640,0
32,Shobha Gupta,Madhu Rao,1230.01,2024-01-20,NEFT,,,0
33,Girish Kambli,Ashok Patil,13607.74,2024-09-22,Cash,322,777,0
34,Santosh Bhat,Gopal Lamani,1305299.82,2024-12-18,IMPS,7266,16227,0
35,Prasad Salian,Deepa Patil,1114.76,2024-11-26,Cash,2536,6376,1
36,Geetha Kambli,Deepak Poojary,37312.97,2024-04-27,NEFT,,,0
37,Parvathi Bagewadi,Madhu Kumar,46623.87,2023-08-30,UPI,,,0
38,Nagesh Poojary,Nagesh Kumari,1757.98,2024-08-19,Cash,,,0
39,Sneha Savanur,Gopal Poojary,13639.05,2024-04-16,NEFT,1487,3734,0
40,Manoj Kattimani,Ravi Desai,854.25,2024-05-15,IMPS,3871,9338,1
41,Naveen Shankar,Priya Siddi,1408.61,2024-05-28,IMPS,,,0
42,Ramesh Naik,Rajesh Devi,18164.21,2023-05-08,NEFT,1754,4389,0
43,Arun Shetty,Radha Prasad,24444.05,2023-11-04,IMPS,301,724,1
44,Suma Meti,Girish Bagewadi,3468.55,2023-06-18,Cash,2079,5225,1
45,Manoj Hiremath,Hanumanthappa Naik,500,2024-12-10,UPI,,,0
46,Ganesh Kattimani,Shilpa Hiremath,12000.27,2023-09-15,IMPS,2190,5498,1
47,Siddaraju Naikar,Nagesh Kattimani,3864.25,2023-12-21,NEFT,,,0
48,Harish Shankar,Ambika Hegde,500,2023-01-08,Cash,,,0
49,Geetha Siddi,Mangala Salian,5198.74,2023-06-26,Cash,,,0
50,Bharath Naikar,Renuka Prasad,24657.18,2023-03-21,NEFT,,,1
51,Harish Hiremath,Saraswathi Poojary,65767.81,2024-11-20,NEFT,6112,13910,0
52,Anand Acharya,Padma Hosamani,8868.75,2024-09-23,NEFT,,,0
53,Shivakumar Kumar,Latha Kumari,2421.78,2024-11-30,IMPS,,,0
54,Ashok Salian,Anil Murthy,783.17,2024-02-01,NEFT,,,0
55,Basavaraj Desai,Siddaraju Prasad,856.76,2024-05-18,UPI,402,986,1
56,Umesh Lamani,Ashok Raju,1923.59,2023-09-05,NEFT,,,0
57,Shobha Ganiger,Santosh Patil,52648.71,2023-04-17,NEFT,588,1475,0
58,Nagaraj Nayak,Manjunath Savanur,1567.77,2023-01-23,Cash,,,1
59,Darshan Bangera,Sharada Shankar,52683.59,2024-07-22,UPI,7931,17505,0
60,Mahesh Gupta,Swathi Raju,500,2024-09-06,NEFT,9560,20823,0
61,Ambika Patil,Vishwanath Nayak,20757.44,2024-01-26,UPI,710,1785,1
62,Siddaraju Reddy,Shankar Hosamani,35891.97,2024-11-27,NEFT,1119,2792,0
63,Anil Murthy,Srinivas Reddy,77705.74,2024-07-01,NEFT,743,1867,0
64,Ramesh Meti,Ravi Naikar,500,2024-01-16,NEFT,,,0
65,Ganesh Hosamani,Siddaraju Desai,5632.85,2024-08-18,Cash,,,1
66,Madhu Kulkarni,Anand Poojary,4165.26,2024-05-07,IMPS,,,1
67,Shivakumar Reddy,Mohan Salian,8573.36,2024-12-22,Cash,8656,18969,0
68,Bharath Shankar,Sunitha Patil,14028.83,2023-07-04,IMPS,525,1306,0
69,Chetan Bangera,Savitha Prasad,3296.93,2023-08-10,IMPS,,,0
70,Bharath Shankar,Anil Rao,3706.73,2023-04-28,Cash,585,1465,0
71,Nandish Shankar,Sagar Angadi,197308.7,2023-01-10,UPI,,,0
72,Priya Hiremath,Anand Bai,8945.82,2023-10-15,IMPS,,,0
73,Anitha Bhat,Priya Kambli,2187.63,2023-01-30,UPI,,,0
74,Kumaraswamy Hiremath,Anil Gupta,14443.0,2024-05-24,IMPS,,,0
75,Sharada Hosamani,Prasad Kumari,737.99,2024-08-05,UPI,,,0
76,Latha Swamy,Bharathi Gupta,9125.46,2024-12-31,UPI,,,1
77,Krishna Kambli,Divya Rao,16858.69,2023-07-07,Cash,1119,2790,0
78,Roopa Angadi,Suma Gowda,2831.57,2023-05-16,IMPS,801,2008,0
79,Basavaraj Patil,Pavan Joshi,15559.26,2024-09-27,IMPS,,,0
80,Asha Prasad,Shankar Hegde,4253.97,2023-06-03,Cash,,,0
81,Gopal Bhat,Krishna Shetty,15744.15,2023-07-15,Cash,,,0
82,Shivanand Angadi,Chetan Gupta,14245.63,2023-05-11,IMPS,1733,4328,1
83,Pooja Shetty,Arun Yadav,16363.51,2023-10-01,IMPS,349,845,1
84,Latha Bagewadi,Anitha Siddi,127338.1,2024-04-20,Cash,708,1780,0
85,Krishna Poojary,Nandini Joshi,124306.25,2023-10-30,IMPS,,,1
86,Suresh Ganiger,Vidya Salian,502.52,2023-09-25,UPI,2352,5898,0
87,Bharathi Gupta,Mangala Bagewadi,22865.03,2023-11-14,IMPS,,,0
88,Suresh Ganiger,Suma Ganiger,54756.32,2023-08-17,UPI,2351,5894,0
89,Srinivas Lamani,Umesh Yadav,5031.39,2023-06-12,UPI,,,1
90,Priya Hiremath,Prasad Salian,54603.63,2023-07-15,UPI,2294,5755,1
91,Rajesh Salian,Shivanand Kulkarni,1612.09,2024-03-12,Cash,6049,13791,0
92,Harish Kumari,Nagesh Kumari,11107.83,2024-03-17,IMPS,2152,5411,0
93,Sagar Shetty,Manjunath Desai,84497.92,2024-09-15,IMPS,7790,17237,0
94,Vasantha Siddi,Sneha Desai,4011.39,2024-11-04,Cash,9935,21586,0
95,Nandish Kumari,Shivakumar Lamani,60915.31,2024-02-21,IMPS,,,0
96,Anil Lamani,Vinay Kulkarni,20352.04,2024-09-10,Cash,3188,7911,0
97,Swathi Patil,Manoj Shetty,78156.43,2024-11-16,NEFT,,,0
98,Rajesh Bhat,Radha Kattimani,30415.03,2024-06-10,IMPS,,,0
99,Radha Kattimani,Madhu Gupta,35827.72,2024-09-06,IMPS,,,0
100,Indira Kulkarni,Pavan Gowda,440733.91,2023-07-06,UPI,8652,18962,0
101,Sneha Joshi,Santosh Salian,500,2024-01-03,IMPS,2287,5735,1
102,Srinivas Bangera,Radha Bagewadi,294633.01,2024-04-07,NEFT,,,0
103,Krishna Shankar,Radha Lamani,642.07,2023-07-21,NEFT,950,2372,0
104,Pavan Shetty,Harish Kumari,1883.88,2023-07-14,Cash,983,2456,1
105,Vidya Raju,Shankar Hosamani,500,2024-09-22,Cash,2694,6783,0
106,Kumaraswamy Rao,Padma Shetty,886.35,2024-09-23,NEFT,,,1
107,Santosh Desai,Santosh Angadi,4443.88,2023-08-02,IMPS,1879,4723,1
108,Chandrashekar Angadi,Prakash Bhat,4798.66,2023-11-14,IMPS,5417,12527,0
109,Nandini Hosamani,Suma Kambli,147260.28,2023-06-15,IMPS,412,1014,0
110,Chetan Swamy,Parvathi Shankar,14384.8,2023-11-27,Cash,4898,11480,1
111,Deepa Reddy,Indira Rao,500,2024-11-23,NEFT,1484,3728,0
112,Jagadish Meti,Nandini Bangera,2019.63,2024-11-18,UPI,,,0
113,Parvathi Hegde,Sagar Shetty,6954.13,2023-02-20,IMPS,,,0
114,Chetan Prasad,Ganesh Shetty,22909.28,2024-06-03,UPI,,,0
115,Darshan Bhat,Shivanand Hosamani,4545.88,2023-03-20,Cash,1844,4622,1
116,Indira Rao,Prasad Kambli,4767.41,2023-10-01,UPI,2629,6623,0
117,Latha Bagewadi,Mangala Swamy,205833.24,2023-02-02,NEFT,621,1565,1
118,Vishwanath Desai,Latha Raju,85148.8,2024-01-23,UPI,,,0
119,Prasad Rao,Geetha Bai,1446.36,2023-06-08,IMPS,1496,3754,0
120,Anitha Siddi,Meena Gowda,147474.73,2024-08-13,Cash,158,359,1
121,Rajesh Kulkarni,Suresh Ganiger,54429.37,2024-07-01,NEFT,1280,3209,1
122,Latha Gupta,Krishna Bagewadi,2503.01,2024-11-28,Cash,1757,4396,1
123,Girish Kambli,Vidya Raju,3191.2,2023-08-20,IMPS,322,777,0
124,Girish Gupta,Shankar Bagewadi,1475.05,2024-04-21,IMPS,,,0
125,Hanumanthappa Angadi,Radha Joshi,659888.43,2024-09-17,NEFT,,,0
126,Prakash Raju,Vishwanath Gupta,18911.02,2024-02-04,IMPS,,,0
127,Ashok Rao,Ashok Nayak,1059.14,2023-07-24,IMPS,6169,14030,0
128,Bharathi Bangera,Latha Desai,13357.75,2023-11-23,UPI,6645,14943,1
129,Chandrashekar Kattimani,Anand Savanur,822.11,2024-06-24,NEFT,1448,3632,0
130,Srinivas Yadav,Rajesh Lamani,19507.29,2024-03-03,NEFT,2434,6117,1
131,Manoj Kumari,Kiran Naik,198689.01,2024-04-16,IMPS,,,0
132,Deepak Bhat,Savitha Ganiger,64506.03,2023-07-01,NEFT,3910,9416,0
133,Ambika Poojary,Indira Naik,310251.16,2024-11-18,IMPS,6191,14071,0
134,Prasad Salian,Yogesh Yadav,28692.99,2024-08-16,IMPS,2448,6153,1
135,Santosh Salian,Nagesh Kumari,13083.8,2023-06-22,NEFT,2472,6213,1
136,Deepa Kattimani,Manjunath Shankar,2559.19,2023-01-21,UPI,1675,4185,1
137,Darshan Devi,Sneha Gowda,3246.59,2023-12-25,IMPS,3716,9014,1
138,Krishna Bagewadi,Latha Kumar,911.3,2024-02-09,Cash,736,1849,1
139,Ashok Poojary,Ashok Shetty,2090.84,2023-12-23,IMPS,1299,3257,0
140,Anitha Patil,Shobha Murthy,19650.63,2024-06-28,IMPS,1488,3736,1
141,Suresh Shetty,Basavaraj Hosamani,118345.5,2023-10-30,NEFT,7688,17047,1
142,Girish Nayak,Indira Rao,39554.62,2024-05-11,Cash,617,1550,1
143,Sharada Hiremath,Lakshman Angadi,662.11,2023-04-06,NEFT,1955,4925,0
144,Nandini Hosamani,Jagadish Kumari,3674.99,2023-01-10,Cash,340,817,0
145,Nagesh Ganiger,Shilpa Kattimani,7560.62,2023-12-11,UPI,2949,7419,1
146,Geetha Savanur,Hanumanthappa Bangera,4130.16,2023-10-16,UPI,,,0
147,Mahesh Poojary,Shobha Murthy,1092.8,2023-05-16,NEFT,614,1543,1
148,Divya Rao,Pavan Hiremath,1273.73,2023-12-17,UPI,,,1
149,Rajesh Kumar,Meena Bangera,23448.11,2023-11-14,Cash,,,0
150,Umesh Meti,Deepa Patil,7634.59,2024-12-25,IMPS,,,0
151,Jyothi Poojary,Radha Bagewadi,9307.37,2023-06-14,IMPS,1886,4741,1
152,Nandini Acharya,Deepa Hegde,500,2023-04-13,Cash,,,0
153,Savitha Poojary,Prasad Hegde,1744.75,2024-03-04,UPI,,,0
154,Darshan Angadi,Nandini Joshi,4672.97,2024-01-23,Cash,,,0
155,Ganesh Kattimani,Prakash Kumar,4158.69,2023-01-12,UPI,2178,5471,0
156,Srinivas Gowda,Latha Hosamani,70223.92,2024-06-15,IMPS,2561,6443,0
157,Kiran Murthy,Pavan Hegde,92016.34,2024-07-08,NEFT,,,0
158,Ashok Poojary,Nagesh Kambli,14892.63,2024-06-21,Cash,738,1852,1
159,Priya Kumari,Sagar Joshi,88840.24,2024-06-20,UPI,2830,7121,1
160,Yogesh Joshi,Pavan Siddi,107471.38,2023-06-01,NEFT,,,0
161,Siddaraju Prasad,Naveen Naik,28338.9,2023-09-12,IMPS,971,2426,0
162,Darshan Swamy,Suma Kambli,55600.02,2024-02-10,NEFT,,,0
163,Rajesh Kattimani,Manjunath Yadav,500,2023-09-23,IMPS,2696,6788,1
164,Manoj Acharya,Indira Rao,4677.63,2023-09-25,Cash,1983,4988,1
165,Manjunath Shankar,Chetan Salian,7968.67,2024-06-19,NEFT,930,2324,0
166,Nandini Bagewadi,Siddaraju Joshi,3694.9,2024-05-31,NEFT,,,0
167,Radha Raju,Krishna Yadav,547.58,2024-07-04,UPI,246,584,1
168,Vishwanath Meti,Basavaraj Siddi,12327.43,2023-02-04,UPI,,,1
169,Arun Lamani,Manjunath Shetty,109595.97,2023-03-06,NEFT,,,0
170,Indira Kattimani,Renuka Gupta,1547.91,2023-10-17,Cash,476,1188,0
171,Indira Rao,Vishwanath Nayak,15956.95,2024-04-17,NEFT,2637,6643,1
172,Shilpa Bangera,Saraswathi Nayak,75112.03,2024-03-01,UPI,,,0
173,Pooja Shetty,Pavan Shetty,19406.15,2024-10-30,NEFT,367,889,0
174,Pushpa Naikar,Vishwanath Desai,61457.65,2024-07-31,IMPS,1629,4066,1
175,Ganesh Hiremath,Harish Bhat,68555.75,2023-01-25,IMPS,4632,10919,0
176,Anitha Shankar,Rashmi Patil,1433.53,2023-12-08,Cash,5843,13370,0
177,Nagesh Bai,Girish Raju,71336.52,2024-11-19,UPI,3132,7795,0
178,Mahesh Gupta,Arun Shetty,6549.02,2024-04-19,NEFT,2235,5612,1
179,Kiran Bai,Renuka Salian,29325.31,2023-12-28,IMPS,,,0
180,Venkatesh Hiremath,Jyothi Shankar,5989.79,2024-10-10,Cash,2055,5161,0
181,Priya Hosamani,Prasad Kambli,500,2024-05-04,Cash,,,0
182,Ambika Gupta,Shankar Shankar,222083.89,2023-09-29,UPI,,,0
183,Latha Gupta,Nandish Salian,940.61,2023-03-06,IMPS,1719,4295,0
184,Jagadish Prasad,Chandrika Gowda,8642.37,2024-07-12,IMPS,9013,19696,0
185,Hanumanthappa Salian,Shivanand Rao,9354.53,2023-04-18,UPI,,,0
186,Anand Patil,Srinivas Bhat,11114.67,2024-12-21,UPI,,,0
187,Manjunath Prasad,Sagar Reddy,5238.2,2023-08-18,UPI,7737,17129,0
188,Bharath Shankar,Indira Bagewadi,237765.98,2024-12-31,IMPS,479,1192,1
189,Madhu Shetty,Madhu Desai,126565.41,2023-04-17,Cash,,,0
190,Anil Rao,Sachin Shetty,6028.27,2024-08-07,UPI,1642,4100,1
191,Priya Meti,Anil Salian,4708.62,2024-10-19,IMPS,,,0
192,Suma Prasad,Ganesh Raju,899.85,2024-11-01,IMPS,6606,14865,1
193,Nandini Naik,Manjunath Murthy,7886.36,2023-06-17,Cash,877,2188,0
194,Chandrika Angadi,Vasantha Bai,7823.73,2024-11-22,IMPS,2554,6424,0
195,Suresh Ganiger,Vidya Shankar,98680.16,2024-11-13,IMPS,2384,5980,0
196,Vinay Swamy,Rajesh Lamani,973.5,2023-02-26,Cash,1062,2644,1
197,Renuka Swamy,Nandish Salian,4559.57,2024-05-10,UPI,2939,7395,1
198,Ashok Patil,Jyothi Poojary,3646097.15,2023-09-03,IMPS,2453,6167,0
199,Nagesh Kumari,Pavan Hegde,1272.69,2024-10-13,UPI,764,1915,1
200,Sunitha Kumari,Gopal Rao,500,2024-01-11,UPI,6512,14684,0
201,Anil Ganiger,Indira Kulkarni,1711.06,2023-03-07,IMPS,4106,9813,0
202,Divya Kumari,Arun Yadav,10587.16,2023-10-21,IMPS,2874,7225,0
203,Nandish Kattimani,Sneha Joshi,3970.33,2024-01-04,UPI,1817,4549,1
204,Bharath Gowda,Divya Bangera,152476.65,2024-09-17,IMPS,2057,5167,0
205,Saraswathi Bangera,Nandini Shankar,82004.02,2023-12-22,IMPS,,,0
206,Roopa Bagewadi,Umesh Desai,6670.47,2024-10-03,Cash,,,0
207,Renuka Devi,Surya Gupta,500,2024-06-26,IMPS,,,0
208,Parvathi Bangera,Vidya Salian,27203.16,2023-04-30,UPI,6490,14641,0
209,Nandish Kulkarni,Anitha Kattimani,1327.81,2023-06-05,UPI,,,0
210,Siddaraju Prasad,Radha Prasad,36079.86,2024-02-09,UPI,1545,3879,1
211,Anand Naikar,Latha Kumar,623.15,2024-09-16,UPI,2634,6636,0
212,Vidya Kumari,Chetan Kumari,548944.25,2024-02-03,IMPS,1791,4484,1
213,Lakshman Shetty,Divya Kumari,10034.26,2023-08-26,Cash,765,1919,1
214,Bharathi Bai,Yogesh Naikar,132969.08,2023-02-26,IMPS,,,1
215,Savitha Salian,Harish Poojary,12865.7,2023-02-18,Cash,,,0
216,Surya Siddi,Girish Raju,92456.35,2024-02-03,Cash,,,1
217,Deepak Acharya,Yogesh Hegde,7600.68,2024-01-14,NEFT,9367,20415,0
218,Ganesh Murthy,Jagadish Kumari,43220.69,2024-05-06,IMPS,1883,4734,1
219,Chetan Lamani,Hanumanthappa Savanur,7241.45,2023-11-21,NEFT,2425,6096,1
220,Venkatesh Bagewadi,Hanumanthappa Hiremath,1055.39,2023-09-29,UPI,3954,9501,0
221,Bharath Yadav,Kamala Nayak,108940.99,2024-11-02,Cash,,,0
222,Prakash Kulkarni,Ganesh Murthy,1227.51,2023-10-15,IMPS,408,1004,0
223,Kavitha Joshi,Arun Salian,29863.81,2024-11-08,IMPS,977,2435,0
224,Santosh Reddy,Suresh Ganiger,20061.96,2023-09-22,Cash,1164,2904,0
225,Arun Shetty,Sagar Joshi,500,2023-03-17,NEFT,375,908,0
226,Suma Swamy,Nandini Kumari,267136.0,2023-03-20,UPI,9267,20212,0
227,Shivanand Hosamani,Ambika Yadav,13546.64,2023-06-26,NEFT,866,2156,0
228,Manjunath Desai,Madhu Prasad,312075.42,2024-05-15,UPI,1118,2787,0
229,Anand Nayak,Jagadish Naikar,500,2023-11-14,NEFT,,,0
230,Krishna Acharya,Deepak Poojary,3534.26,2023-04-12,IMPS,,,0
231,Pushpa Salian,Mahesh Desai,94574.71,2024-05-21,UPI,1272,3188,1
232,Harish Devi,Sachin Devi,49407.39,2023-02-14,NEFT,1772,4436,0
233,Chetan Bangera,Pooja Kambli,1027.83,2024-06-07,UPI,796,1995,0
234,Arun Raju,Srinivas Gowda,1221.0,2023-06-09,NEFT,2013,5059,0
235,Shivanand Gowda,Geetha Bai,2219.06,2024-11-22,IMPS,1524,3824,0
236,Anitha Patil,Pushpa Gowda,28325.94,2024-06-11,NEFT,1500,3767,0
237,Prasad Kambli,Chandrashekar Kattimani,500,2024-01-11,Cash,12,25,1
238,Ganesh Kattimani,Hanumanthappa Savanur,99174.09,2024-03-28,UPI,2160,5427,1
239,Roopa Shetty,Lakshman Poojary,66534.38,2023-10-06,Cash,5526,12751,0
240,Chandrika Joshi,Girish Bai,1534.68,2024-06-28,NEFT,1323,3309,0
241,Lakshmi Acharya,Gopal Siddi,9785.36,2024-07-27,UPI,,,0
242,Priya Devi,Radha Bagewadi,41745.67,2023-09-07,NEFT,512,1273,0
243,Suma Raju,Rashmi Gupta,52444.25,2024-06-01,Cash,,,0
244,Siddaraju Kulkarni,Hanumanthappa Bangera,40686.86,2024-09-09,Cash,,,0
245,Radha Rao,Geetha Murthy,50650.26,2023-10-04,UPI,,,0
246,Shobha Gupta,Yashodha Kumar,5262.43,2024-01-17,UPI,7919,17484,0
247,Savitha Kattimani,Mahesh Gowda,19487.24,2024-10-30,IMPS,2045,5137,1
248,Madhu Prasad,Krishna Kambli,500,2023-01-02,Cash,2930,7369,0
249,Ganesh Nayak,Vinay Salian,3862.44,2024-07-29,NEFT,5900,13487,1
250,Manjunath Ganiger,Deepa Kattimani,500,2023-04-02,UPI,473,1179,1
251,Radha Bagewadi,Ambika Yadav,1195.04,2023-01-15,NEFT,2402,6027,0
252,Bharathi Siddi,Pushpa Hegde,754.05,2023-12-10,NEFT,7261,16216,0
253,Kavitha Hegde,Swathi Shankar,131255.17,2023-06-16,Cash,,,0
254,Roopa Hegde,Meena Hiremath,2945.76,2024-08-16,NEFT,1268,3182,0
255,Suma Gowda,Ramesh Hosamani,72308.11,2024-11-26,IMPS,1318,3293,0
256,Siddaraju Naikar,Shobha Gupta,774.21,2023-10-28,NEFT,,,0
257,Harish Poojary,Sagar Bangera,500,2024-10-06,NEFT,,,0
258,Yashodha Murthy,Kumaraswamy Bai,108774.96,2023-05-11,UPI,,,0
259,Sneha Kambli,Rashmi Shetty,17467.06,2024-06-25,IMPS,,,0
260,Chandrika Yadav,Pavan Meti,15051.51,2024-08-09,Cash,,,0
261,Lakshman Hiremath,Arun Bhat,30045.49,2023-11-27,Cash,,,0
262,Bharathi Reddy,Mangala Bangera,53542.32,2024-11-03,NEFT,,,0
263,Darshan Savanur,Sagar Reddy,4735.24,2023-08-08,NEFT,4007,9609,1
264,Chandrashekar Shetty,Prakash Murthy,47417.22,2024-11-08,UPI,,,0
265,Madhu Prasad,Chandrashekar Kattimani,51499.78,2023-04-29,UPI,684,1723,0
266,Renuka Bangera,Nagesh Kumari,2490.46,2024-05-05,Cash,1872,4701,1
267,Ramesh Lamani,Mahesh Gupta,3541.15,2024-01-22,Cash,2512,6314,1
268,Suma Gowda,Srinivas Siddi,247561.68,2024-11-16,UPI,1318,3293,1
269,Shivanand Reddy,Meena Bangera,1981.3,2023-06-26,IMPS,,,0
270,Ramesh Naik,Ashok Patil,2800.89,2024-09-13,UPI,1762,4405,1
271,Renuka Savanur,Saraswathi Patil,7801.91,2024-09-12,UPI,1052,2621,1
272,Surya Hosamani,Gopal Naik,43032.28,2024-12-03,Cash,2146,5396,0
273,Madhu Desai,Sagar Bagewadi,114723.84,2024-07-27,Cash,8639,18927,1
274,Ramesh Desai,Sunitha Kumari,4932.66,2023-09-07,Cash,,,0
275,Ganesh Ganiger,Siddaraju Reddy,7435.56,2023-03-31,NEFT,1946,4895,0
276,Shobha Murthy,Santosh Desai,2592.45,2023-10-25,IMPS,2131,5358,0
277,Kumaraswamy Gowda,Latha Yadav,2729.76,2023-04-06,Cash,,,1
278,Chetan Kumari,Vidya Gowda,17484.85,2023-08-13,UPI,,,0
279,Prasad Naikar,Mahesh Desai,7547.78,2024-06-10,NEFT,839,2099,1
280,Vinay Kattimani,Krishna Acharya,2748.44,2024-07-26,NEFT,8413,18474,0
281,Srinivas Shankar,Vinay Naikar,15561.93,2024-08-07,UPI,,,1
282,Gopal Prasad,Suresh Meti,1780.99,2024-01-22,Cash,,,1
283,Bharath Shankar,Vinay Kambli,1963.23,2023-12-25,UPI,,,0
284,Yashodha Ganiger,Meena Murthy,27971.85,2023-07-01,IMPS,584,1463,0
285,Priya Hiremath,Yogesh Bhat,4235.69,2024-12-30,NEFT,2284,5730,0
286,Krishna Bagewadi,Mahesh Ganiger,1244.62,2024-06-21,Cash,732,1837,1
287,Shankar Hosamani,Ganesh Murthy,500,2024-09-11,Cash,2127,5345,1
288,Divya Reddy,Priya Hiremath,146586.7,2024-11-17,NEFT,2215,5563,0
289,Nagesh Raju,Sharada Bangera,13480.8,2023-08-01,Cash,3151,7834,0
290,Nandish Hiremath,Krishna Meti,12915.88,2024-03-08,IMPS,811,2036,0
291,Jagadish Swamy,Mahesh Nayak,2443.1,2024-01-11,UPI,,,0
292,Bharath Swamy,Hanumanthappa Swamy,25600.16,2023-10-24,NEFT,2584,6508,0
293,Bharath Hegde,Ramesh Lamani,469451.71,2023-03-10,NEFT,2553,6420,1
294,Bharath Rao,Kamala Hiremath,3457.31,2024-03-24,Cash,,,1
295,Arun Bai,Chetan Acharya,64939.75,2024-03-22,UPI,2813,7073,0
296,Anil Joshi,Chetan Kattimani,251518.74,2023-05-09,UPI,1108,2761,0
297,Lakshmi Meti,Mahesh Desai,500,2023-09-07,NEFT,,,0
298,Suma Naik,Chetan Hegde,7691.09,2024-11-07,Cash,,,0
299,Kumaraswamy Bhat,Ramesh Nayak,709858.84,2024-10-13,NEFT,9957,21630,0
300,Darshan Acharya,Nagaraj Bangera,500,2024-08-15,UPI,4070,9733,0
301,Rajesh Devi,Nandini Hosamani,5902.86,2023-03-04,IMPS,2053,5156,1
302,Rajesh Hegde,Vasantha Salian,500,2024-03-11,Cash,,,0
303,Latha Kumar,Jyothi Kambli,24138.91,2024-10-04,Cash,225,529,1
304,Krishna Kambli,Krishna Bagewadi,1833.82,2023-06-07,IMPS,1153,2876,0
305,Radha Kumar,Prasad Kumar,500,2024-09-16,Cash,728,1826,1
306,Priya Kumari,Mahesh Gupta,2580.7,2024-11-01,UPI,2732,6874,1
307,Nagaraj Yadav,Asha Murthy,506.33,2024-05-16,UPI,3031,7608,0
308,Mahesh Swamy,Vinay Kattimani,898714.02,2023-02-07,IMPS,,,0
309,Priya Swamy,Nagesh Shankar,14404.94,2024-12-13,NEFT,1506,3782,0
310,Harish Kumari,Saraswathi Patil,33281.43,2023-05-10,NEFT,2136,5375,0
311,Manoj Lamani,Saraswathi Shankar,654.93,2024-08-24,IMPS,,,0
312,Bharath Bangera,Anand Desai,66055.84,2023-05-17,Cash,222,522,0
313,Saraswathi Hosamani,Nagesh Kumari,15680.13,2024-02-13,Cash,1667,4165,0
314,Basavaraj Desai,Hanumanthappa Bai,1003.93,2023-12-16,Cash,412,1015,1
315,Santosh Salian,Saraswathi Patil,370473.49,2024-07-31,Cash,2434,6118,1
316,Nandish Salian,Indira Rao,1395.2,2024-01-05,UPI,2383,5974,1
317,Divya Bhat,Ganesh Kambli,11700.18,2023-04-11,IMPS,263,630,1
318,Deepa Kulkarni,Naveen Desai,5332.07,2023-11-17,Cash,,,0
319,Pushpa Lamani,Manjunath Hosamani,13264.57,2023-01-30,IMPS,,,0
320,Sagar Kumar,Naveen Hiremath,637102.92,2024-04-10,IMPS,,,0
321,Ashok Shetty,Deepa Patil,83986.66,2024-02-13,Cash,1414,3545,1
322,Pooja Shetty,Bharath Lamani,29153.53,2023-10-19,Cash,,,0
