CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
40,100020012202300040,202300017,2023-10-13,1863,12,1,2,6,18,1,,2023-10-11 22:50:16,2023-10-12 00:50:16,2023-10-12 02:50:16,13.3085,77.4878,"On 11-10-2023, complainant Chandrika Kumari from Majestic, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Kamala Joshi siphoned Rs.639,387 through multiple UPI transactions."
41,100010004202400041,202400024,2024-11-30,1271,4,1,2,6,17,3,,2024-11-27 00:54:00,2024-11-27 00:54:00,2024-11-27 11:54:00,12.9401,77.6925,"On 27-11-2024, complainant Shivanand Bangera from Marathahalli, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Naveen Meti siphoned Rs.4,353,634 through multiple UPI transactions."
42,100020013202400042,202400025,2024-08-29,141,13,1,2,6,16,2,,2024-08-28 21:38:46,2024-08-28 21:38:46,2024-08-29 05:38:46,13.3816,77.3311,"On 28-08-2024, complainant Nagesh Swamy from Jayanagar, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Vasantha Kumar siphoned Rs.3,913,429 through multiple UPI transactions."
43,100020012202300043,202300018,2023-05-18,141,12,1,2,6,19,4,6,2023-05-18 07:37:29,2023-05-18 11:37:29,2023-05-18 09:37:29,13.386,77.2084,"On 18-05-2023, complainant Shobha Raju from Majestic, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Priya Kattimani siphoned Rs.3,149,100 through multiple UPI transactions."
44,100020018202400044,202400026,2024-08-24,173,18,1,2,6,18,2,,2024-08-24 12:24:01,2024-08-24 15:24:01,2024-08-24 15:24:01,13.2177,77.3384,"Complainant Chandrashekar Naik reported receiving a call from accused posing as bank official on 24-08-2024. Accused Bharath Kattimani fraudulently obtained OTP and transferred Rs.132,446 from complainant's account. Cyber cell investigation initiated from Indiranagar, Bengaluru Rural."
45,100020014202400045,202400027,2024-02-13,1540,14,1,2,6,17,3,,2024-02-11 17:20:47,2024-02-11 19:20:47,2024-02-12 00:20:47,13.3282,77.4028,"On 11-02-2024, complainant Priya Hosamani from Yelahanka, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Umesh Angadi siphoned Rs.2,106,712 through multiple UPI transactions."
46,400010004202400046,202400028,2024-03-04,2403,4,4,2,6,18,2,,2024-03-02 08:55:22,2024-03-02 08:55:22,2024-03-02 13:55:22,12.9375,77.4979,"Complainant Madhu Devi reported receiving a call from accused posing as bank official on 02-03-2024. Accused Jagadish Joshi fraudulently obtained OTP and transferred Rs.106,190 from complainant's account. Cyber cell investigation initiated from Bommanahalli, Bengaluru Urban."
47,800020012202300047,202300019,2023-05-03,1481,12,3,2,6,17,2,,2023-04-30 04:47:58,2023-04-30 04:47:58,2023-04-30 15:47:58,13.1565,77.3006,"Complainant Asha Kulkarni reported receiving a call from accused posing as bank official on 30-04-2023. Accused Renuka Bagewadi fraudulently obtained OTP and transferred Rs.979,823 from complainant's account. Cyber cell investigation initiated from Yeshwanthpur, Bengaluru Rural."
48,100020014202400048,202400029,2024-07-29,1669,14,1,2,6,16,2,,2024-07-28 22:28:55,2024-07-29 01:28:55,2024-07-29 01:28:55,13.1503,77.39,"On 28-07-2024, complainant Ganesh Raju from Malleswaram, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Umesh Angadi siphoned Rs.4,479,420 through multiple UPI transactions."
49,100020013202400049,202400030,2024-08-21,127,13,1,2,6,19,2,,2024-08-21 05:07:09,2024-08-21 08:07:09,2024-08-21 17:07:09,13.2397,77.4916,"On 21-08-2024, complainant Padma Desai from Vijayanagar, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Kamala Joshi siphoned Rs.3,709,677 through multiple UPI transactions."
50,100020019202400050,202400031,2024-12-20,827,19,1,2,6,16,2,,2024-12-18 18:45:26,2024-12-18 19:45:26,2024-12-19 03:45:26,13.3511,77.2418,"On 18-12-2024, complainant Hanumanthappa Siddi from Peenya, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Priya Kattimani siphoned Rs.3,379,583 through multiple UPI transactions."
51,100020014202300051,202300020,2023-01-31,78,14,1,2,6,16,2,,2023-01-29 02:02:27,2023-01-29 02:02:27,2023-01-29 14:02:27,13.2015,77.1778,"Complainant Ganesh Hosamani reported receiving a call from accused posing as bank official on 29-01-2023. Accused Umesh Angadi fraudulently obtained OTP and transferred Rs.740,015 from complainant's account. Cyber cell investigation initiated from Yelahanka, Bengaluru Rural."
52,300020017202400052,202400032,2024-01-30,107,17,2,2,6,17,2,,2024-01-30 20:04:11,2024-01-30 22:04:11,2024-01-31 01:04:11,13.065,77.4149,"Complainant Chetan Lamani reported receiving a call from accused posing as bank official on 30-01-2024. Accused Umesh Angadi fraudulently obtained OTP and transferred Rs.336,677 from complainant's account. Cyber cell investigation initiated from Rajajinagar, Bengaluru Rural."
53,300010003202400053,202400033,2024-09-11,5,3,2,2,6,19,3,,2024-09-08 22:22:29,2024-09-08 23:22:29,2024-09-09 10:22:29,13.1593,77.5416,"On 08-09-2024, complainant Renuka Gupta from Rajajinagar, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Jagadish Joshi siphoned Rs.1,256,785 through multiple UPI transactions."
54,800020013202300054,202300021,2023-11-26,418,13,3,2,6,18,4,5,2023-11-24 11:09:45,2023-11-24 12:09:45,2023-11-24 17:09:45,13.382,77.3993,"On 24-11-2023, complainant Manjunath Bhat from Indiranagar, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Manjunath Bagewadi siphoned Rs.2,274,794 through multiple UPI transactions."
55,800010006202400055,202400034,2024-03-13,1341,6,3,2,6,18,1,,2024-03-13 03:51:57,2024-03-13 04:51:57,2024-03-13 05:51:57,12.8211,77.6571,"Complainant Arun Kumari reported receiving a call from accused posing as bank official on 13-03-2024. Accused Kavitha Acharya fraudulently obtained OTP and transferred Rs.731,607 from complainant's account. Cyber cell investigation initiated from Indiranagar, Bengaluru Urban."
56,800010004202400056,202400035,2024-06-04,531,4,3,2,6,16,2,,2024-06-03 15:37:36,2024-06-03 16:37:36,2024-06-03 19:37:36,12.7903,77.6556,"Complainant Swathi Shankar reported receiving a call from accused posing as bank official on 03-06-2024. Accused Vasantha Kumar fraudulently obtained OTP and transferred Rs.646,871 from complainant's account. Cyber cell investigation initiated from Yelahanka, Bengaluru Urban."
57,800020015202300057,202300022,2023-07-03,1923,15,3,2,6,19,3,,2023-07-03 17:15:56,2023-07-03 19:15:56,2023-07-03 23:15:56,13.3901,77.3605,"Complainant Kamala Prasad reported receiving a call from accused posing as bank official on 03-07-2023. Accused Basavaraj Gowda fraudulently obtained OTP and transferred Rs.437,667 from complainant's account. Cyber cell investigation initiated from Peenya, Bengaluru Rural."
58,100020018202400058,202400036,2024-12-03,2327,18,1,2,6,17,3,,2024-12-03 15:01:56,2024-12-03 16:01:56,2024-12-03 23:01:56,13.3615,77.2529,"On 03-12-2024, complainant Manoj Patil from Indiranagar, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Kamala Joshi siphoned Rs.860,330 through multiple UPI transactions."
59,300020018202300059,202300023,2023-09-12,8,18,2,2,6,16,1,,2023-09-10 08:34:54,2023-09-10 10:34:54,2023-09-10 13:34:54,13.1283,77.3192,"Complainant Santosh Gowda reported receiving a call from accused posing as bank official on 10-09-2023. Accused Sneha Prasad fraudulently obtained OTP and transferred Rs.725,520 from complainant's account. Cyber cell investigation initiated from Whitefield, Bengaluru Rural."
60,100020016202400060,202400037,2024-06-24,127,16,1,2,6,16,3,,2024-06-21 22:38:51,2024-06-22 00:38:51,2024-06-22 00:38:51,13.0183,77.1679,"Complainant Nagesh Swamy reported receiving a call from accused posing as bank official on 21-06-2024. Accused Naveen Meti fraudulently obtained OTP and transferred Rs.876,393 from complainant's account. Cyber cell investigation initiated from BTM Layout, Bengaluru Rural."
61,300020016202400061,202400038,2024-06-30,47,16,2,2,6,18,2,,2024-06-30 21:44:45,2024-07-01 00:44:45,2024-07-01 06:44:45,13.0423,77.2643,"On 30-06-2024, complainant Rashmi Poojary from Banashankari, Bengaluru Rural was defrauded via a fake investment scheme online. Accused Basavaraj Gowda siphoned Rs.1,891,857 through multiple UPI transactions."
62,100020012202300062,202300024,2023-08-12,2019,12,1,2,6,18,3,,2023-08-09 06:19:59,2023-08-09 06:19:59,2023-08-09 07:19:59,13.1268,77.2855,"Complainant Ganesh Siddi reported receiving a call from accused posing as bank official on 09-08-2023. Accused Ashok Kumari fraudulently obtained OTP and transferred Rs.865,063 from complainant's account. Cyber cell investigation initiated from Yeshwanthpur, Bengaluru Rural."
63,100010008202400063,202400039,2024-11-27,2369,8,1,2,6,16,1,,2024-11-25 01:07:21,2024-11-25 05:07:21,2024-11-25 04:07:21,12.924,77.7557,"Complainant Jyothi Hegde reported receiving a call from accused posing as bank official on 25-11-2024. Accused Sneha Prasad fraudulently obtained OTP and transferred Rs.899,369 from complainant's account. Cyber cell investigation initiated from Vijayanagar, Bengaluru Urban."
64,100010004202300064,202300025,2023-06-18,498,4,1,2,6,19,2,,2023-06-18 12:14:47,2023-06-18 14:14:47,2023-06-18 14:14:47,13.0838,77.6129,"Complainant Shankar Poojary reported receiving a call from accused posing as bank official on 18-06-2023. Accused Jagadish Joshi fraudulently obtained OTP and transferred Rs.586,428 from complainant's account. Cyber cell investigation initiated from Malleswaram, Bengaluru Urban."
65,100010010202400065,202400040,2024-03-21,827,10,1,2,6,18,3,,2024-03-18 07:23:28,2024-03-18 07:23:28,2024-03-18 18:23:28,12.9865,77.4734,"On 18-03-2024, complainant Divya Hiremath from Marathahalli, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Manjunath Bagewadi siphoned Rs.3,850,990 through multiple UPI transactions."
66,100010005202300066,202300026,2023-04-22,2069,5,1,2,6,17,1,,2023-04-21 10:22:17,2023-04-21 11:22:17,2023-04-21 18:22:17,12.8697,77.668,"Complainant Nagaraj Swamy reported receiving a call from accused posing as bank official on 21-04-2023. Accused Basavaraj Gowda fraudulently obtained OTP and transferred Rs.272,652 from complainant's account. Cyber cell investigation initiated from Peenya, Bengaluru Urban."
67,100020015202300067,202300027,2023-09-24,1692,15,1,2,6,18,2,,2023-09-24 23:32:18,2023-09-24 23:32:18,2023-09-25 04:32:18,13.0586,77.4727,"Complainant Sneha Lamani reported receiving a call from accused posing as bank official on 24-09-2023. Accused Bharath Kattimani fraudulently obtained OTP and transferred Rs.754,471 from complainant's account. Cyber cell investigation initiated from Yeshwanthpur, Bengaluru Rural."
68,100010010202400068,202400041,2024-08-21,25,10,1,2,6,19,3,,2024-08-18 16:38:02,2024-08-18 20:38:02,2024-08-19 04:38:02,13.0436,77.608,"Complainant Manjunath Rao reported receiving a call from accused posing as bank official on 18-08-2024. Accused Ravi Rao fraudulently obtained OTP and transferred Rs.255,918 from complainant's account. Cyber cell investigation initiated from Jayanagar, Bengaluru Urban."
69,100020014202300069,202300028,2023-09-17,126,14,1,2,6,18,2,,2023-09-16 10:26:44,2023-09-16 11:26:44,2023-09-16 13:26:44,13.3729,77.5167,"Complainant Kamala Gowda reported receiving a call from accused posing as bank official on 16-09-2023. Accused Shilpa Kattimani fraudulently obtained OTP and transferred Rs.557,751 from complainant's account. Cyber cell investigation initiated from Basavanagudi, Bengaluru Rural."
70,300010005202400070,202400042,2024-11-09,1842,5,2,2,6,17,1,,2024-11-08 14:55:06,2024-11-08 16:55:06,2024-11-09 02:55:06,12.8853,77.6651,"On 08-11-2024, complainant Jyothi Gowda from Rajajinagar, Bengaluru Urban was defrauded via a fake investment scheme online. Accused Renuka Bagewadi siphoned Rs.1,594,161 through multiple UPI transactions."
71,100020015202300071,202300029,2023-04-25,828,15,1,2,6,18,3,,2023-04-22 05:59:09,2023-04-22 05:59:09,2023-04-22 08:59:09,13.0329,77.4927,"Complainant Bharathi Savanur reported receiving a call from accused posing as bank official on 22-04-2023. Accused Yogesh Devi fraudulently obtained OTP and transferred Rs.202,824 from complainant's account. Cyber cell investigation initiated from Koramangala, Bengaluru Rural."
72,100010009202400072,202400043,2024-08-11,1587,9,1,2,6,17,2,,2024-08-09 07:35:54,2024-08-09 09:35:54,2024-08-09 13:35:54,12.7873,77.6455,"Complainant Chandrashekar Murthy reported receiving a call from accused posing as bank official on 09-08-2024. Accused Sneha Prasad fraudulently obtained OTP and transferred Rs.149,866 from complainant's account. Cyber cell investigation initiated from Jayanagar, Bengaluru Urban."
73,100020017202400073,202400044,2024-02-24,140,17,1,2,6,17,1,,2024-02-22 08:00:51,2024-02-22 11:00:51,2024-02-22 10:00:51,13.1485,77.1942,"Complainant Jagadish Swamy reported receiving a call from accused posing as bank official on 22-02-2024. Accused Naveen Meti fraudulently obtained OTP and transferred Rs.713,268 from complainant's account. Cyber cell investigation initiated from Indiranagar, Bengaluru Rural."
