EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
171,3,27,12,12,KG2020278429,Lakshmi Bangera,1999-05-30,2,4,0,2022-07-24
172,3,30,12,9,KG2009861575,Mohan Hosamani,2000-07-15,1,1,0,2010-06-08
173,3,22,10,8,KG2011430312,Ramesh Kattimani,1992-07-05,1,8,0,2022-05-20
174,3,21,13,9,KG2021395130,Siddaraju Naikar,1984-01-28,1,8,0,2008-11-19
175,3,26,12,11,KG2020201604,Surya Raju,1981-01-21,1,5,0,2011-04-05
176,3,25,13,12,KG2015503111,Anil Meti,1985-08-24,1,5,0,2017-07-28
177,3,30,13,7,KG2009304562,Sneha Joshi,1971-11-21,2,2,0,2011-06-15
178,3,28,13,12,KG2013978347,Kiran Siddi,1995-03-19,1,5,0,2020-08-13
179,3,30,13,4,KG2012668934,Darshan Savanur,1980-06-11,1,2,0,2006-03-07
180,3,28,9,3,KG2018684608,Nagaraj Shetty,1991-05-04,1,4,0,2015-09-17
181,3,25,10,11,KG2012561148,Nandish Hegde,1971-09-04,1,7,0,2008-12-05
182,3,23,8,1,KG2010982106,Sneha Meti,1982-12-26,2,1,0,2005-11-03
183,3,30,9,6,KG2021517905,Gopal Siddi,1976-01-08,1,8,0,2016-04-23
184,3,22,10,12,KG2005772400,Harish Patil,1985-02-14,1,5,0,2022-09-26
185,3,24,10,11,KG2015090952,Rashmi Ganiger,1987-12-25,2,2,0,2020-01-05
186,3,23,12,4,KG2019790372,Prasad Gupta,1981-12-23,1,5,0,2012-05-24
187,3,30,9,11,KG2008488003,Deepak Reddy,1983-10-06,1,7,0,2008-08-01
188,3,25,13,11,KG2012229773,Anitha Desai,1975-12-29,2,3,0,2015-09-23
189,3,30,11,12,KG2011798868,Ashok Siddi,1981-02-06,1,2,0,2020-04-05
190,3,29,13,2,KG2022946747,Geetha Reddy,1992-09-03,2,3,0,2009-07-15
191,3,29,11,11,KG2007942554,Lakshman Meti,1992-11-22,1,1,0,2014-12-29
192,3,29,11,10,KG2005415183,Jagadish Acharya,1981-06-01,1,1,0,2023-04-25
193,3,30,9,7,KG2006979982,Ravi Siddi,1973-02-04,1,1,0,2015-08-04
194,3,23,13,11,KG2017470326,Swathi Desai,1986-12-07,2,2,0,2013-06-05
195,3,29,9,6,KG2021133534,Kumaraswamy Hiremath,1979-12-28,1,1,1,2005-01-29
196,3,28,13,9,KG2012483001,Prasad Yadav,1985-07-12,1,5,0,2008-06-24
197,3,22,9,11,KG2012216093,Nandish Naik,1973-01-07,1,1,0,2007-04-07
198,3,21,10,1,KG2011791031,Sachin Siddi,1972-07-13,1,5,0,2008-02-22
199,3,30,10,10,KG2014918824,Siddaraju Gupta,1976-06-05,1,4,0,2019-10-23
200,3,25,9,10,KG2022519697,Suma Angadi,1972-02-08,2,7,0,2012-09-22
201,3,26,13,7,KG2022496521,Prasad Patil,1980-10-23,1,5,0,2010-01-21
202,3,23,13,1,KG2021140607,Vishwanath Kambli,1987-06-04,1,5,0,2010-06-13
203,3,22,8,6,KG2006281503,Surya Nayak,1986-12-02,1,1,0,2020-02-10
204,3,24,13,10,KG2020219037,Nagaraj Swamy,1984-12-08,1,1,0,2011-10-20
205,3,24,7,2,KG2012729418,Bharath Naikar,1997-02-10,1,4,0,2020-10-14
206,3,24,12,5,KG2014274268,Kumaraswamy Joshi,1986-02-18,1,8,0,2016-07-02
207,3,28,13,6,KG2018047937,Shilpa Bhat,1995-03-27,2,3,0,2009-12-18
208,3,29,8,10,KG2011345889,Anand Rao,1980-04-26,1,4,0,2013-07-09
209,3,26,10,8,KG2010768368,Radha Lamani,1985-10-19,2,3,0,2008-10-18
210,3,28,10,9,KG2006879828,Rekha Savanur,1973-05-02,2,1,0,2023-05-08
211,3,27,9,11,KG2005229345,Anil Rao,1992-09-07,1,6,0,2015-03-25
212,3,30,8,11,KG2022431320,Rajesh Siddi,1970-07-14,1,5,0,2005-05-18
213,3,25,9,12,KG2008549858,Naveen Devi,1976-09-05,1,4,0,2010-05-29
214,3,25,13,5,KG2017481295,Prakash Desai,1995-05-06,1,4,0,2010-06-16
215,3,22,13,11,KG2017395491,Prakash Hiremath,1994-10-17,1,1,0,2015-09-05
216,3,23,9,7,KG2008938257,Chandrashekar Poojary,1993-09-10,1,4,0,2005-12-15
217,3,30,12,1,KG2006188067,Pooja Siddi,1984-02-09,2,4,0,2005-05-09
218,3,27,8,5,KG2017709923,Deepak Poojary,1994-04-01,1,7,0,2012-06-10
219,3,23,13,12,KG2006102431,Madhu Joshi,1989-08-10,1,2,0,2010-03-17
220,3,30,7,7,KG2013821610,Pushpa Naik,1990-03-18,2,4,0,2016-01-03
221,3,27,11,11,KG2014836822,Prasad Hegde,1981-01-20,1,2,0,2020-12-29
222,3,23,11,11,KG2016111727,Prasad Bhat,1974-02-08,1,5,0,2005-02-12
223,3,25,9,2,KG2022537334,Umesh Kambli,1988-04-21,1,1,0,2007-04-27
224,3,29,9,10,KG2014433912,Prasad Kumar,1987-05-25,1,2,0,2022-06-23
225,3,29,8,4,KG2010145585,Ganesh Hosamani,1982-01-23,1,5,0,2011-10-03
226,3,22,10,5,KG2016263927,Ashok Shankar,1981-01-23,1,8,0,2021-03-03
227,3,24,12,3,KG2017843136,Santosh Kulkarni,1984-10-13,1,6,0,2014-11-16
228,3,30,9,6,KG2020329446,Chetan Nayak,1977-12-20,1,6,0,2013-12-07
229,3,28,7,4,KG2016119421,Vinay Hiremath,1995-04-18,1,3,0,2009-06-25
230,3,29,9,12,KG2019836434,Anil Swamy,1983-01-26,1,2,0,2020-07-16
231,3,27,13,3,KG2009749980,Deepak Raju,1988-12-24,1,7,0,2022-09-13
232,3,30,12,7,KG2022038552,Chetan Kattimani,1986-02-16,1,2,0,2020-09-26
233,3,24,13,6,KG2017789246,Mohan Gowda,1984-11-15,1,7,0,2022-11-10
234,3,22,10,9,KG2012467433,Nagaraj Salian,1986-10-13,1,8,0,2013-10-10
235,3,30,13,3,KG2008309784,Suresh Naikar,1988-08-29,1,2,0,2006-12-05
236,3,23,10,6,KG2020365220,Mahesh Savanur,1991-05-12,1,8,0,2007-03-11
237,3,28,10,5,KG2005890430,Anil Kumari,1985-05-22,1,2,0,2019-07-15
238,3,23,8,12,KG2010347068,Naveen Kambli,1995-02-11,1,8,0,2014-07-25
239,3,27,12,3,KG2005773208,Girish Hiremath,1997-07-19,1,8,0,2009-06-05
240,3,27,9,4,KG2008838339,Bharath Shankar,1994-01-31,1,6,0,2009-03-12
241,3,28,9,11,KG2017641004,Saraswathi Bhat,1987-08-11,2,2,0,2018-03-02
242,3,28,12,11,KG2007704759,Basavaraj Salian,1976-01-04,1,2,0,2012-01-10
243,3,22,10,12,KG2009602728,Prasad Kattimani,1987-03-19,1,3,0,2014-06-28
244,3,29,13,11,KG2010513427,Suma Kambli,1982-12-16,2,3,0,2008-02-24
245,3,28,12,6,KG2011854816,Radha Bai,1987-03-23,2,8,0,2017-08-06
246,3,28,11,8,KG2005834542,Prakash Poojary,1979-11-23,1,1,0,2011-07-21
247,3,29,10,8,KG2022535619,Nandish Meti,1975-01-29,1,2,0,2017-11-05
248,3,29,13,6,KG2019572893,Bharath Gowda,1979-10-21,1,2,0,2014-07-15
249,3,24,10,1,KG2019907323,Shivakumar Hegde,1975-04-08,1,4,0,2022-05-25
250,3,30,13,12,KG2009822975,Girish Shetty,1979-04-09,1,4,0,2023-04-01
251,3,30,11,5,KG2014303388,Ganesh Bhat,1995-09-10,1,2,0,2010-12-31
252,3,27,8,5,KG2012153348,Padma Bai,1984-06-13,2,7,0,2010-07-21
253,3,30,12,11,KG2007422420,Umesh Shankar,1993-02-16,1,5,0,2021-10-26
254,3,26,12,8,KG2019665679,Rajesh Hegde,1999-10-17,1,6,0,2020-08-22
255,4,38,10,7,KG2015868582,Radha Prasad,1982-09-21,2,3,0,2012-07-29
256,4,39,13,11,KG2019017073,Venkatesh Devi,1975-07-29,1,8,0,2008-07-18
257,4,38,10,12,KG2013097875,Renuka Shetty,1999-05-13,2,5,0,2013-01-31
258,4,34,9,11,KG2018687327,Chetan Yadav,1974-02-03,1,2,0,2020-10-13
259,4,39,9,10,KG2005008455,Pavan Bagewadi,1985-05-31,1,2,1,2023-04-30
260,4,38,13,8,KG2008108215,Prasad Hegde,1984-01-21,1,5,0,2013-03-31
261,4,34,12,11,KG2005639967,Sagar Poojary,1999-02-27,1,8,0,2008-09-06
262,4,35,12,3,KG2011090899,Rajeshwari Bagewadi,1974-07-05,2,2,0,2008-02-21
263,4,38,11,7,KG2013675934,Srinivas Gupta,1973-10-12,1,5,0,2010-07-26
264,4,32,13,11,KG2021197811,Priya Savanur,1987-07-29,2,1,0,2011-08-19
265,4,35,12,2,KG2007553949,Krishna Bangera,1970-07-17,1,6,0,2013-02-06
266,4,38,11,11,KG2005615896,Ashok Shankar,1973-01-11,1,5,0,2005-04-23
267,4,32,8,7,KG2018444151,Krishna Ganiger,1988-01-17,1,3,0,2006-11-07
268,4,36,9,4,KG2015409712,Shobha Siddi,1996-04-22,2,2,0,2019-03-25
269,4,38,13,4,KG2008475395,Prakash Angadi,1997-06-19,1,1,0,2018-08-28
270,4,34,9,12,KG2020999310,Rajesh Shetty,1985-07-21,1,5,0,2016-09-24
271,4,34,13,5,KG2015846314,Manoj Naik,1989-04-05,1,2,0,2011-02-07
272,4,33,12,9,KG2010385549,Shivanand Poojary,1977-01-21,1,2,0,2010-09-21
273,4,33,10,9,KG2006494682,Rajesh Gupta,1986-04-30,1,3,0,2013-08-04
274,4,32,12,12,KG2015260323,Vishwanath Yadav,1988-09-02,1,6,0,2021-02-26
275,4,33,12,2,KG2012843410,Manjunath Patil,1993-02-19,1,7,0,2006-01-12
276,4,39,13,5,KG2005386840,Nagaraj Lamani,1979-01-01,1,5,0,2011-07-17
277,4,35,12,10,KG2012157881,Roopa Siddi,1970-04-15,2,1,0,2014-03-14
278,4,37,12,12,KG2017890248,Sharada Kumar,1983-10-18,2,4,0,2007-05-02
279,4,35,11,1,KG2007046033,Shobha Prasad,1980-05-20,2,7,0,2016-08-28
280,4,37,12,12,KG2009668170,Arun Ganiger,1987-09-10,1,1,0,2006-09-06
281,4,34,10,5,KG2015474752,Sneha Bhat,1982-03-14,2,2,0,2010-03-29
282,4,34,13,10,KG2019488695,Arun Shetty,1984-02-02,1,2,0,2014-02-13
283,4,35,12,8,KG2010846827,Manoj Hegde,2000-10-10,1,1,0,2011-10-29
284,4,37,9,12,KG2021051329,Shivakumar Hiremath,2000-05-17,1,5,0,2011-09-15
285,4,34,9,7,KG2012099327,Indira Kambli,1990-09-23,2,3,0,2007-04-15
286,4,32,13,4,KG2007610611,Santosh Desai,1996-04-16,1,2,0,2010-10-22
287,4,33,10,11,KG2015128480,Srinivas Hegde,1971-12-01,1,1,0,2015-05-05
288,4,38,13,7,KG2010371137,Prasad Angadi,1979-08-19,1,5,0,2009-03-14
289,4,34,9,10,KG2020432006,Gopal Murthy,1994-09-14,1,1,0,2015-09-30
290,4,38,9,4,KG2022833457,Sagar Gupta,1970-11-16,1,6,0,2013-07-31
291,4,39,10,10,KG2010027330,Prasad Prasad,1984-04-21,1,4,0,2018-05-24
292,4,36,9,8,KG2012167379,Nandish Salian,1974-06-29,1,4,0,2010-07-24
293,4,32,13,4,KG2010184655,Prasad Joshi,1980-08-11,1,6,0,2018-04-16
294,4,37,8,1,KG2009590463,Shivakumar Poojary,1978-06-12,1,8,0,2023-03-06
295,4,34,12,2,KG2005552022,Shankar Yadav,1991-06-11,1,6,0,2005-01-06
296,4,35,13,6,KG2005154888,Siddaraju Reddy,1996-04-25,1,3,0,2020-10-21
297,4,40,13,2,KG2008352910,Darshan Hiremath,1983-07-16,1,3,1,2012-03-27
