ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
112,88,Anil Salian,15,5,1,1,1
113,89,Anitha Shetty,28,1,1,1,2
114,90,Venkatesh Desai,33,7,1,4,1
115,90,Pushpa Hosamani,49,14,2,4,2
116,91,Sneha Gowda,31,20,1,1,2
117,92,Bharath Meti,41,11,3,1,1
118,93,Venkatesh Prasad,50,4,2,4,1
119,94,Vasantha Desai,42,19,1,1,2
120,95,Anand Gowda,18,4,1,4,1
121,96,Manjunath Bhat,24,19,5,1,1
122,97,Vishwanath Patil,26,10,3,2,1
123,98,Sagar Angadi,44,13,1,2,1
124,99,Shivakumar Meti,29,11,1,1,1
125,100,Nandini Shetty,36,7,1,2,2
126,101,Santosh Patil,39,7,4,3,1
127,102,Deepa Naik,39,7,1,2,2
128,103,Basavaraj Hosamani,26,7,1,1,1
129,103,Harish Bangera,41,1,2,5,1
130,104,Sagar Hiremath,22,19,1,3,1
131,104,Kiran Patil,35,1,1,2,1
132,105,Jyothi Meti,19,11,1,2,2
133,105,Roopa Patil,45,8,4,3,2
134,106,Santosh Gowda,38,8,1,2,1
135,107,Pushpa Joshi,23,1,1,3,2
136,107,Prasad Lamani,27,5,1,2,1
137,108,Chandrashekar Naik,17,12,1,1,1
138,109,Mahesh Joshi,49,3,2,2,1
139,109,Shobha Bagewadi,15,6,1,1,2
140,110,Jagadish Lamani,32,14,2,1,1
141,111,Ganesh Lamani,33,10,2,3,1
142,112,Siddaraju Prasad,21,20,1,4,1
143,113,Swathi Rao,21,15,1,4,2
144,113,Lakshmi Hosamani,37,7,2,2,2
145,114,Shankar Desai,35,3,1,4,1
146,115,Sunitha Hosamani,31,16,1,1,2
147,115,Yashodha Reddy,24,9,2,3,2
148,116,Rekha Naikar,37,6,1,2,2
149,117,Ravi Savanur,62,18,1,5,1
150,118,Ganesh Lamani,33,10,2,3,1
151,119,Ashok Hiremath,43,1,1,3,1
152,119,Bharathi Meti,18,19,1,2,2
153,120,Anand Reddy,44,18,1,1,1
154,121,Chandrashekar Poojary,38,11,1,2,1
155,122,Prakash Prasad,29,11,1,1,1
156,123,Renuka Naikar,35,4,1,1,2
157,123,Arun Salian,29,8,2,3,1
158,124,Manoj Hegde,30,3,2,2,1
159,125,Ashok Savanur,31,10,1,3,1
160,126,Chetan Kumari,29,13,1,3,1
161,127,Prakash Yadav,15,18,1,3,1
162,127,Prasad Kumar,15,19,3,5,1
163,128,Suresh Siddi,32,11,1,3,1
164,129,Shobha Gupta,28,14,1,2,2
165,129,Manjunath Siddi,29,10,1,2,1
166,130,Arun Siddi,48,11,1,3,1
167,131,Anand Ganiger,32,1,1,1,1
168,132,Chandrashekar Angadi,48,5,1,5,1
169,132,Sachin Shankar,21,20,1,2,1
170,133,Geetha Siddi,36,13,1,1,2
171,134,Santosh Acharya,32,2,1,2,1
172,135,Latha Yadav,38,5,1,2,2
173,136,Vasantha Kumari,42,11,2,2,2
174,136,Deepak Murthy,31,11,1,1,1
175,137,Priya Hosamani,25,15,1,2,2
176,137,Shivanand Bagewadi,31,9,1,2,1
177,138,Ganesh Raju,41,5,1,3,1
178,139,Shivanand Siddi,17,4,4,2,1
179,140,Chandrashekar Angadi,48,5,1,5,1
180,141,Santosh Patil,39,7,4,3,1
181,142,Chetan Kumari,29,13,1,3,1
182,142,Sagar Bhat,43,4,1,1,1
183,143,Umesh Joshi,32,16,1,1,1
184,144,Prasad Bai,29,3,4,1,1
185,145,Swathi Devi,16,4,2,3,2
186,146,Nandini Hosamani,37,3,1,1,2
187,147,Manjunath Lamani,15,17,3,3,1
188,147,Ramesh Kattimani,34,2,1,1,1
189,148,Bharathi Siddi,15,6,1,3,2
190,148,Ashok Gupta,29,10,1,2,1
191,149,Priya Kumari,25,13,1,5,2
192,150,Chetan Kumari,29,13,1,3,1
193,151,Venkatesh Ganiger,29,19,7,3,1
194,152,Arun Kumari,23,4,4,1,1
195,153,Shivakumar Bhat,22,19,1,2,1
196,154,Nagaraj Raju,39,3,2,2,1
197,155,Jyothi Desai,35,10,1,2,2
198,156,Renuka Gupta,30,15,1,1,2
199,157,Vasantha Devi,15,9,2,1,2
200,158,Lakshman Bangera,16,6,1,3,1
201,158,Ambika Yadav,22,20,1,2,2
202,159,Krishna Acharya,35,13,5,1,1
203,159,Shivakumar Hiremath,33,20,1,2,1
204,160,Siddaraju Shetty,28,8,1,2,1
205,161,Vishwanath Raju,43,14,2,3,1
206,162,Nandini Hosamani,37,3,1,1,2
207,163,Ramesh Bagewadi,30,4,3,2,1
208,164,Prakash Prasad,34,2,4,2,1
209,165,Rekha Naikar,37,6,1,2,2
210,166,Prakash Prasad,29,11,1,1,1
211,167,Manoj Hegde,30,3,2,2,1
212,167,Chandrashekar Desai,22,15,1,1,1
213,168,Mangala Kattimani,37,4,1,1,2
214,169,Srinivas Shankar,56,14,1,2,1
215,170,Jagadish Kulkarni,37,5,6,3,1
216,171,Shivanand Bangera,64,5,1,1,1
217,172,Rekha Kumar,25,5,1,1,2
218,172,Nagesh Hiremath,36,3,1,1,1
219,173,Chandrashekar Angadi,48,5,1,5,1
220,173,Madhu Gupta,26,15,1,2,1
221,174,Renuka Naikar,35,4,1,1,2
222,174,Shivanand Siddi,17,4,4,2,1
223,175,Sachin Shetty,25,11,1,1,1
224,175,Srinivas Prasad,36,3,1,1,1
225,176,Latha Hiremath,27,14,1,4,2
226,176,Surya Devi,45,5,3,2,1
227,177,Manoj Hegde,30,3,2,2,1
228,178,Swathi Rao,21,15,1,4,2
229,179,Ramesh Bagewadi,30,4,3,2,1
230,180,Renuka Gupta,30,15,1,1,2
231,181,Madhu Swamy,19,7,1,3,1
232,182,Shankar Hegde,47,15,1,1,1
233,183,Madhu Kulkarni,20,10,1,2,1
234,184,Darshan Naikar,20,15,1,3,1
235,184,Padma Salian,22,16,1,1,2
236,185,Pavan Naik,39,7,4,2,1
237,185,Rashmi Patil,22,20,2,2,2
238,186,Chandrika Desai,16,16,3,3,2
239,187,Madhu Poojary,44,16,2,1,1
240,188,Anil Joshi,32,15,1,2,1
241,188,Renuka Lamani,28,3,1,1,2
242,189,Srinivas Murthy,47,5,3,2,1
243,190,Sagar Gupta,35,4,5,4,1
244,190,Ravi Bangera,43,3,1,2,1
245,191,Prakash Yadav,15,18,1,3,1
246,192,Chetan Kumari,29,13,1,3,1
247,192,Ambika Desai,39,19,1,3,2
248,193,Kumaraswamy Kulkarni,15,15,1,1,1
249,194,Rajesh Kumar,22,8,1,2,1
250,195,Krishna Acharya,35,13,5,1,1
251,195,Vishwanath Hegde,27,1,1,3,1
252,196,Vasantha Bai,18,17,1,2,2
253,197,Chandrashekar Naik,15,12,1,1,1
254,197,Indira Kumar,43,1,1,4,2
255,198,Pavan Acharya,44,1,1,1,1
256,198,Geetha Gupta,33,20,2,2,2
257,199,Ramesh Swamy,15,13,1,2,1
258,199,Latha Patil,47,8,1,3,2
259,200,Chandrashekar Naik,17,12,1,1,1
260,201,Lakshman Bangera,16,6,1,3,1
261,201,Sharada Salian,42,15,1,4,2
262,202,Sagar Yadav,29,2,1,2,1
263,203,Santosh Meti,49,4,1,2,1
264,204,Suma Devi,20,18,1,1,2
265,204,Ashok Hiremath,55,6,4,3,1
266,205,Harish Joshi,32,5,1,1,1
267,206,Sharada Murthy,29,3,3,3,2
268,207,Sneha Acharya,45,18,1,3,2
269,207,Nagesh Poojary,40,12,1,2,1
270,208,Chandrashekar Murthy,44,8,2,3,1
271,208,Mohan Murthy,19,15,2,1,1
272,209,Anil Salian,15,5,1,1,1
273,210,Geetha Naikar,19,1,1,3,2
274,210,Savitha Shankar,30,7,1,2,2
275,211,Chetan Gupta,27,12,5,1,1
276,212,Shobha Gupta,28,14,1,2,2
277,213,Divya Yadav,30,12,2,3,2
278,214,Santosh Siddi,23,11,1,2,1
279,215,Priya Bangera,45,18,1,2,2
280,215,Suma Joshi,28,2,5,2,2
281,216,Rashmi Bagewadi,30,19,1,2,2
282,217,Priya Kulkarni,48,16,1,2,2
283,218,Savitha Hosamani,30,19,4,3,2
284,219,Sagar Hiremath,15,19,1,2,1
285,220,Sachin Shetty,25,11,1,1,1
286,220,Pooja Bhat,47,5,2,4,2
287,221,Kumaraswamy Angadi,54,5,3,3,1
288,222,Gopal Lamani,28,11,1,2,1
289,223,Kamala Kumar,45,13,1,1,2
290,223,Bharathi Kattimani,41,7,2,1,2
291,224,Shobha Naikar,25,3,1,1,2
292,225,Divya Bai,37,1,4,2,2
293,226,Rashmi Siddi,26,10,5,1,2
294,227,Rajesh Kulkarni,34,2,1,4,1
295,227,Sagar Nayak,34,12,1,1,1
296,228,Harish Bangera,33,2,1,2,1
297,229,Ganesh Devi,23,5,1,1,1
298,229,Shivakumar Salian,22,20,4,2,1
299,230,Chandrashekar Naik,15,12,1,1,1
300,231,Prakash Reddy,41,12,4,3,1
301,232,Pushpa Joshi,23,1,1,3,2
302,233,Meena Yadav,33,15,2,3,2
303,233,Pooja Shetty,44,1,3,1,2
304,234,Nagaraj Swamy,19,17,1,1,1
305,235,Bharath Yadav,27,6,1,1,1
306,235,Ashok Salian,28,13,4,1,1
307,236,Sharada Desai,40,4,4,1,2
308,237,Anand Gowda,18,4,1,4,1
309,237,Sachin Raju,32,12,1,2,1
310,238,Mangala Kattimani,37,4,1,1,2
311,239,Shivakumar Kattimani,15,5,3,2,1
312,239,Kamala Savanur,49,1,1,3,2
313,240,Swathi Shankar,32,14,1,1,2
314,241,Jyothi Gowda,37,9,4,2,2
315,242,Chandrashekar Murthy,34,12,1,4,1
316,243,Geetha Lamani,24,4,1,1,3
317,244,Mangala Yadav,30,3,5,5,2
318,244,Girish Salian,25,14,1,3,1
319,245,Bharath Bhat,25,9,1,1,1
320,246,Shobha Gupta,28,14,1,2,2
321,246,Siddaraju Angadi,39,19,2,3,1
322,247,Nandish Swamy,37,1,1,2,1
323,248,Basavaraj Nayak,19,10,1,2,1
324,248,Pavan Acharya,32,13,1,3,1
325,249,Venkatesh Siddi,17,7,2,4,1
326,249,Vasantha Gowda,50,8,2,2,2
327,250,Prakash Swamy,33,4,1,2,1
328,251,Surya Kumar,29,15,3,2,1
329,252,Geetha Hiremath,48,2,1,2,2
330,252,Shivakumar Hiremath,15,12,3,1,1
331,253,Yashodha Poojary,34,10,1,2,2
332,254,Bharath Meti,41,11,3,1,1
333,255,Surya Joshi,38,1,1,2,1
334,255,Mahesh Acharya,20,5,1,2,1
335,256,Asha Kulkarni,24,6,3,3,2
336,256,Shivanand Hosamani,48,10,4,1,1
337,257,Sneha Gupta,36,3,1,4,2
338,258,Geetha Siddi,36,13,1,1,2
339,259,Latha Yadav,42,16,3,2,2
340,259,Anil Yadav,21,7,1,3,1
341,260,Parvathi Kattimani,35,7,1,2,2
342,261,Manoj Joshi,48,15,1,2,1
343,262,Sachin Kambli,25,4,1,2,1
344,262,Umesh Joshi,15,12,1,2,1
345,263,Ravi Swamy,30,16,1,1,1
346,264,Vidya Bangera,15,16,1,2,2
347,264,Venkatesh Kumari,35,1,1,2,1
348,265,Vinay Hiremath,15,4,1,3,1
349,266,Kumaraswamy Naikar,34,4,2,2,1
350,266,Prasad Hegde,41,6,2,2,1
351,267,Pushpa Poojary,45,2,2,3,2
352,268,Rajesh Nayak,52,16,1,2,1
353,268,Ashok Prasad,22,16,1,3,3
354,269,Suma Devi,20,18,1,1,2
355,270,Parvathi Yadav,19,18,1,5,2
356,271,Pooja Savanur,34,1,5,1,2
357,272,Yashodha Kumar,34,14,1,3,2
358,273,Saraswathi Bagewadi,68,8,1,5,2
359,274,Nagaraj Siddi,34,10,2,2,1
360,275,Nagesh Hegde,37,16,2,1,1
361,276,Radha Swamy,44,15,1,3,2
362,277,Parvathi Bagewadi,15,20,4,2,2
363,278,Manjunath Rao,33,16,1,1,1
364,278,Rajesh Salian,33,12,1,5,1
365,279,Chetan Lamani,44,19,1,5,1
366,279,Latha Swamy,40,4,1,2,2
367,280,Chetan Lamani,44,19,1,5,1
368,280,Kumaraswamy Rao,15,16,1,3,1
369,281,Chetan Lamani,44,19,1,5,1
370,282,Vidya Savanur,19,11,1,4,2
371,283,Surya Prasad,30,15,4,5,1
372,284,Rajesh Kumar,22,8,1,2,1
373,285,Prakash Yadav,15,18,1,3,1
374,285,Sneha Nayak,22,4,1,4,2
375,286,Naveen Gupta,22,5,1,3,1
376,287,Pavan Acharya,44,1,1,1,1
377,288,Divya Bhat,15,3,1,2,2
378,288,Bharathi Ganiger,26,7,1,4,2
379,289,Kiran Bagewadi,53,11,1,3,1
380,290,Divya Kumari,15,18,1,2,2
381,291,Shobha Raju,50,5,1,1,2
382,292,Prakash Prasad,34,2,4,2,1
383,293,Madhu Devi,30,8,1,3,1
384,294,Vasantha Prasad,15,1,1,2,3
385,295,Suma Gowda,46,2,1,2,2
386,296,Gopal Lamani,28,11,1,2,1
387,297,Shivanand Salian,28,20,1,2,1
388,298,Padma Desai,41,11,1,3,2
389,299,Nagaraj Raju,17,14,3,1,1
390,300,Sunitha Bangera,54,5,2,2,2
391,301,Chandrika Poojary,49,11,1,1,2
392,301,Saraswathi Hosamani,30,11,1,3,2
393,302,Sunitha Bangera,54,5,2,2,2
394,302,Vishwanath Ganiger,39,12,1,3,1
395,303,Swathi Devi,16,4,2,3,2
396,303,Padma Joshi,15,7,1,3,2
397,304,Renuka Gupta,30,15,1,1,2
398,305,Ramesh Bagewadi,30,4,3,2,1
399,306,Roopa Prasad,49,3,1,3,2
400,307,Pushpa Kambli,39,7,1,2,2
401,308,Ganesh Hosamani,35,16,4,2,1
402,309,Suresh Raju,16,3,1,3,1
403,309,Kiran Shetty,17,20,2,3,1
404,310,Sneha Acharya,33,11,3,1,2
405,311,Manjunath Rao,33,16,1,1,1
406,312,Deepa Prasad,27,2,1,2,2
407,312,Vinay Naikar,19,6,1,2,1
408,313,Ravi Desai,15,8,1,1,1
409,314,Gopal Lamani,28,11,1,2,1
410,315,Parvathi Ganiger,27,12,1,2,2
411,316,Santosh Patil,39,7,4,3,1
412,317,Padma Shankar,20,14,1,4,2
413,318,Sagar Shetty,33,14,3,2,1
414,318,Suresh Swamy,20,18,6,3,1
415,319,Savitha Savanur,25,10,1,3,2
416,320,Kumaraswamy Angadi,54,5,3,3,1
417,321,Saraswathi Naikar,35,5,4,2,2
418,321,Divya Hosamani,15,12,3,2,2
419,322,Nandini Desai,34,13,1,3,2
420,323,Chandrashekar Savanur,21,10,6,1,1
421,323,Priya Swamy,29,14,2,1,2
422,324,Chandrashekar Naik,17,12,1,1,1
423,325,Lakshmi Hosamani,15,8,1,5,2
424,326,Shivanand Savanur,15,19,1,2,1
425,326,Nagesh Bai,26,6,1,1,1
426,327,Meena Hosamani,54,7,1,2,3
427,328,Surya Kumar,29,15,3,2,1
428,329,Sunitha Hosamani,31,16,1,1,2
429,330,Deepa Kattimani,38,11,3,5,2
430,331,Shivakumar Kattimani,44,6,2,3,1
431,332,Prakash Yadav,15,18,1,3,1
432,333,Renuka Kambli,56,19,2,3,2
433,334,Vasantha Bai,18,17,1,2,2
434,335,Roopa Prasad,49,3,1,3,2
435,336,Sagar Hiremath,15,19,1,2,1
436,336,Mahesh Patil,39,6,1,2,1
437,337,Mangala Kattimani,37,4,1,1,2
438,338,Vishwanath Kumar,38,17,1,1,1
439,339,Latha Yadav,38,5,1,2,2
440,340,Hanumanthappa Siddi,17,11,5,2,1
441,341,Srinivas Reddy,36,4,1,1,1
442,341,Vinay Joshi,27,10,1,2,1
443,342,Srinivas Bai,52,6,1,1,1
444,343,Rashmi Poojary,38,6,1,5,2
445,344,Kumaraswamy Bangera,23,11,1,1,1
446,345,Manoj Joshi,48,15,1,2,1
447,345,Nandish Prasad,49,19,3,1,1
448,346,Indira Bai,45,15,3,2,2
449,347,Arun Kulkarni,31,14,1,1,1
450,348,Lakshmi Bhat,19,12,3,2,2
451,349,Darshan Naikar,20,15,1,3,1
452,350,Lakshmi Gupta,40,8,3,2,2
453,351,Prakash Yadav,15,18,1,3,1
454,352,Shivakumar Kattimani,44,6,2,3,1
455,353,Anand Reddy,44,18,1,1,1
456,354,Sagar Yadav,29,2,1,2,1
457,355,Prakash Murthy,36,4,2,2,1
458,355,Gopal Gupta,42,18,3,2,1
459,356,Siddaraju Salian,41,9,1,1,1
460,357,Srinivas Murthy,47,5,3,2,1
461,358,Indira Yadav,15,12,2,1,2
462,359,Prasad Kumar,15,19,3,5,1
463,359,Umesh Murthy,35,10,3,2,1
464,360,Darshan Naikar,20,15,1,3,1
465,360,Prakash Desai,46,9,1,3,1
466,361,Shivakumar Hiremath,44,12,1,1,1
467,361,Shivanand Kulkarni,26,15,3,2,1
468,362,Kamala Swamy,15,20,1,2,2
469,363,Chandrika Gowda,15,15,3,4,2
470,363,Deepa Salian,43,17,1,4,2
471,364,Sunitha Bangera,54,5,2,2,2
472,364,Sagar Naikar,37,2,4,1,1
473,365,Parvathi Kattimani,35,7,1,2,2
474,366,Prakash Raju,37,2,1,1,1
475,367,Shivanand Bangera,64,5,1,1,1
476,368,Kumaraswamy Raju,33,14,2,2,1
477,369,Bharath Bai,57,13,4,3,1
478,370,Padma Desai,41,11,1,3,2
479,371,Deepa Kattimani,38,11,3,5,2
480,371,Srinivas Bagewadi,47,13,5,5,3
481,372,Hanumanthappa Bai,28,5,1,4,1
482,373,Suresh Raju,16,3,1,3,1
483,373,Deepak Naik,22,7,6,3,1
484,374,Latha Kumar,41,4,1,1,2
485,375,Ganesh Raju,41,5,1,3,1
486,376,Kumaraswamy Bangera,23,11,1,1,1
487,376,Siddaraju Murthy,46,4,1,5,1
488,377,Asha Hegde,30,2,1,2,2
489,378,Chandrashekar Poojary,38,11,1,2,1
490,378,Yashodha Siddi,29,10,1,1,2
491,379,Asha Rao,35,1,5,2,2
492,380,Geetha Naikar,19,1,1,3,2
493,380,Nagesh Nayak,33,6,1,2,1
494,381,Swathi Devi,16,4,2,3,2
495,382,Kiran Rao,41,1,2,3,1
496,383,Chetan Kumari,29,13,1,3,1
497,384,Surya Joshi,38,1,1,2,1
498,384,Nandini Shetty,15,20,1,2,2
499,385,Nandini Swamy,25,16,6,2,2
500,386,Rajesh Naikar,34,10,1,1,1
501,387,Indira Naik,17,14,3,1,2
502,387,Kamala Gowda,20,10,1,2,2
503,388,Santosh Siddi,23,11,1,2,1
504,389,Ganesh Murthy,48,15,2,3,1
505,390,Vasantha Gowda,50,8,2,2,2
506,391,Sagar Hiremath,22,19,1,3,1
507,392,Jyothi Kumar,40,12,5,2,2
508,392,Shobha Gupta,32,6,1,4,2
509,393,Pooja Reddy,30,10,1,3,2
510,394,Vasantha Kumari,42,11,2,2,2
511,395,Meena Hosamani,54,7,1,2,3
512,396,Madhu Desai,21,10,3,5,1
513,397,Hanumanthappa Bagewadi,24,20,1,1,1
514,398,Yashodha Bagewadi,33,5,2,4,2
515,399,Indira Murthy,29,9,1,3,2
516,399,Parvathi Bagewadi,16,13,1,1,2
517,400,Nandish Yadav,46,19,2,2,1
518,400,Lakshmi Devi,39,4,2,2,2
519,401,Indira Bai,45,15,3,2,2
520,402,Madhu Meti,61,5,1,3,1
521,403,Latha Kumar,41,4,1,1,2
522,403,Priya Devi,21,5,1,2,2
523,404,Ashok Raju,47,15,1,3,1
524,405,Gopal Poojary,36,16,4,5,1
525,405,Roopa Raju,41,14,1,2,2
526,406,Ravi Savanur,62,18,1,5,1
527,407,Pavan Joshi,30,2,4,5,1
528,407,Siddaraju Raju,20,16,1,1,1
529,408,Shobha Raju,50,5,1,1,2
530,409,Padma Desai,41,11,1,3,2
531,409,Manoj Hosamani,15,1,1,3,3
532,410,Vasantha Nayak,38,17,2,2,2
533,410,Suma Raju,15,5,1,2,2
534,411,Gopal Gupta,27,15,1,2,1
535,412,Yashodha Kumar,34,14,1,3,2
536,413,Jyothi Desai,35,10,1,2,2
537,414,Shobha Raju,50,5,1,1,2
538,414,Shilpa Raju,37,9,3,2,2
539,415,Gopal Lamani,28,11,1,2,1
540,415,Saraswathi Swamy,40,9,2,2,2
541,416,Kumaraswamy Naikar,34,4,2,2,1
542,416,Nagaraj Devi,32,1,1,4,1
543,417,Srinivas Bai,52,6,1,1,1
544,418,Gopal Poojary,36,16,4,5,1
545,418,Swathi Bhat,15,6,1,2,2
546,419,Meena Hosamani,54,7,1,2,3
547,419,Kamala Bai,38,16,1,1,2
548,420,Chandrika Gowda,25,18,7,3,3
549,421,Nagaraj Raju,17,14,3,1,1
550,421,Nandish Salian,47,3,1,1,1
551,422,Manjunath Bangera,31,5,1,3,1
552,423,Prakash Reddy,41,12,4,3,1
553,423,Savitha Kattimani,39,3,1,3,2
554,424,Rajesh Acharya,15,15,3,2,1
555,424,Harish Salian,25,11,3,2,1
556,425,Indira Yadav,15,12,2,1,2
557,426,Girish Patil,45,18,1,3,1
558,427,Deepak Kambli,19,12,1,3,1
559,428,Swathi Shankar,32,14,1,1,2
560,429,Ramesh Patil,15,17,2,2,1
561,429,Nagesh Raju,47,8,1,4,1
562,430,Chandrika Desai,16,16,3,3,2
563,431,Kumaraswamy Kulkarni,15,15,1,1,1
564,431,Manoj Bangera,24,1,1,1,1
565,432,Jagadish Kulkarni,37,5,6,3,1
566,433,Lakshman Ganiger,36,19,1,2,1
567,434,Prakash Rao,44,14,1,1,3
568,435,Manjunath Bhat,24,19,5,1,1
569,435,Siddaraju Naikar,35,2,2,4,1
570,436,Indira Yadav,15,12,2,1,2
571,437,Sneha Gupta,36,3,1,4,2
572,437,Bharath Naikar,39,15,3,1,1
573,438,Santosh Siddi,23,11,1,2,1
574,439,Priya Shankar,48,15,1,2,2
575,440,Kiran Angadi,15,12,1,1,1
576,441,Bharath Bai,57,13,4,3,1
577,442,Lakshman Bagewadi,28,19,2,2,1
578,442,Manoj Acharya,21,4,1,5,1
579,443,Pushpa Joshi,23,1,1,3,2
580,444,Venkatesh Devi,54,11,2,3,1
581,445,Santosh Acharya,32,2,1,2,1
582,445,Krishna Hiremath,37,13,1,5,1
583,446,Sharada Rao,26,6,2,3,2
584,447,Sneha Lamani,45,14,1,3,2
585,447,Vidya Raju,54,14,1,5,2
586,448,Nandini Kambli,31,6,1,2,2
587,449,Suma Devi,20,18,1,1,2
588,449,Priya Kattimani,28,11,1,3,2
589,450,Asha Naik,41,2,1,3,2
590,451,Rajesh Bhat,22,10,1,2,1
591,452,Shivakumar Hiremath,44,12,1,1,1
592,452,Asha Rao,35,1,5,2,2
